ue_id,cell_id,drop_type
UE10206,XYZ401,Transport
UE10911,XYZ402,IMS
UE10696,XYZ401,IMS
UE10480,XYZ405,IMS
UE10649,XYZ407,Mobility
UE10402,XYZ403,Mobility
UE10996,XYZ408,Mobility
UE10834,XYZ405,IMS
UE10675,XYZ405,IMS
UE10899,XYZ405,Mobility
UE10586,XYZ408,IMS
UE10232,XYZ402,Mobility
UE10928,XYZ402,Mobility
UE10283,XYZ408,Mobility
UE10479,XYZ409,Transport
UE10888,XYZ410,IMS
UE10766,XYZ410,Radio
UE10975,XYZ402,Mobility
UE10008,XYZ404,Radio
UE10714,XYZ408,Transport
UE10901,XYZ402,IMS
UE10378,XYZ404,Mobility
UE10816,XYZ410,Mobility
UE10602,XYZ401,Mobility
UE10380,XYZ402,Radio
UE10843,XYZ407,Transport
UE10661,XYZ401,IMS
UE10359,XYZ401,Transport
UE10175,XYZ402,Mobility
UE10484,XYZ404,Transport
UE10404,XYZ407,Radio
UE10032,XYZ404,Radio
UE10464,XYZ405,Radio
UE10695,XYZ404,IMS
UE10156,XYZ404,IMS
UE10564,XYZ409,Transport
UE10807,XYZ406,IMS
UE10201,XYZ403,Radio
UE10785,XYZ406,Mobility
UE10174,XYZ407,Mobility
UE10243,XYZ407,Transport
UE10268,XYZ408,Mobility
UE10922,XYZ404,Transport
UE10445,XYZ401,IMS
UE10073,XYZ406,IMS
UE10095,XYZ408,Radio
UE10872,XYZ405,Mobility
UE10172,XYZ403,Radio
UE10898,XYZ404,Radio
UE10405,XYZ408,Radio
UE10154,XYZ406,Transport
UE10182,XYZ405,Transport
UE10322,XYZ409,Radio
UE10288,XYZ410,IMS
UE10257,XYZ403,Transport
UE10586,XYZ407,Radio
UE10173,XYZ409,IMS
UE10329,XYZ404,Radio
UE10230,XYZ410,Mobility
UE10758,XYZ410,Transport
UE10160,XYZ403,Mobility
UE10185,XYZ401,Mobility
UE10902,XYZ409,IMS
UE10142,XYZ401,IMS
UE10281,XYZ402,Transport
UE10906,XYZ409,Mobility
UE10639,XYZ405,Transport
UE10677,XYZ404,IMS
UE10026,XYZ409,Radio
UE10245,XYZ409,Mobility
UE10486,XYZ402,IMS
UE10646,XYZ403,Transport
UE10896,XYZ403,IMS
UE10201,XYZ405,Radio
UE10020,XYZ403,IMS
UE10590,XYZ410,Transport
UE10669,XYZ406,Mobility
UE10093,XYZ402,Mobility
UE10007,XYZ406,Radio
UE10471,XYZ406,Transport
UE10338,XYZ402,IMS
UE10258,XYZ406,Mobility
UE10054,XYZ406,Radio
UE10910,XYZ406,Transport
UE10547,XYZ405,Mobility
UE10005,XYZ407,Transport
UE10376,XYZ405,Radio
UE10553,XYZ401,Transport
UE10049,XYZ409,Transport
UE10111,XYZ403,IMS
UE10145,XYZ402,Transport
UE10229,XYZ410,Transport
UE10722,XYZ406,IMS
UE10496,XYZ408,IMS
UE10305,XYZ402,Radio
UE10541,XYZ404,Mobility
UE10460,XYZ402,Transport
UE10806,XYZ409,Transport
UE10627,XYZ410,Transport
UE10907,XYZ402,Radio
UE10225,XYZ410,Mobility
UE10058,XYZ402,Mobility
UE10075,XYZ405,Mobility
UE10427,XYZ405,Mobility
UE10727,XYZ407,IMS
UE10131,XYZ401,Mobility
UE10931,XYZ402,IMS
UE10497,XYZ406,Transport
UE10815,XYZ402,Radio
UE10909,XYZ404,IMS
UE10592,XYZ410,Mobility
UE10304,XYZ406,Mobility
UE10066,XYZ407,Transport
UE10982,XYZ405,Radio
UE10332,XYZ408,IMS
UE10904,XYZ406,Mobility
UE10276,XYZ405,IMS
UE10872,XYZ404,IMS
UE10583,XYZ406,IMS
UE10720,XYZ406,IMS
UE10783,XYZ406,IMS
UE10143,XYZ401,Mobility
UE10250,XYZ406,Transport
UE10795,XYZ401,Transport
UE10690,XYZ405,Mobility
UE10951,XYZ407,Transport
UE10079,XYZ401,IMS
UE10056,XYZ401,Radio
UE10365,XYZ406,Transport
UE10307,XYZ407,Radio
UE10173,XYZ406,Radio
UE10461,XYZ405,Mobility
UE10749,XYZ406,Transport
UE10677,XYZ403,IMS
UE10595,XYZ409,Mobility
UE10492,XYZ405,Mobility
UE10559,XYZ402,Radio
UE10638,XYZ410,Transport
UE10680,XYZ410,Mobility
UE10865,XYZ407,IMS
UE10373,XYZ403,Mobility
UE10954,XYZ401,IMS
UE10348,XYZ403,Transport
UE10066,XYZ409,IMS
UE10329,XYZ405,IMS
UE10851,XYZ407,Radio
UE10193,XYZ403,Mobility
UE10154,XYZ404,Transport
UE10159,XYZ401,Mobility
UE10695,XYZ403,IMS
UE10265,XYZ407,IMS
UE10167,XYZ404,Mobility
UE10144,XYZ402,Transport
UE10185,XYZ405,Transport
UE10885,XYZ405,Radio
UE10864,XYZ402,IMS
UE10773,XYZ406,IMS
UE10422,XYZ410,Radio
UE10785,XYZ404,Mobility
UE10456,XYZ401,IMS
UE10839,XYZ403,Mobility
UE10344,XYZ409,Transport
UE10734,XYZ410,IMS
UE10553,XYZ407,Radio
UE10515,XYZ406,IMS
UE10787,XYZ401,Radio
UE10795,XYZ409,Transport
UE10935,XYZ409,Transport
UE10704,XYZ401,Transport
UE10103,XYZ406,Transport
UE10246,XYZ407,IMS
UE10811,XYZ402,Mobility
UE10022,XYZ410,Mobility
UE10952,XYZ408,Radio
UE10814,XYZ408,Mobility
UE10524,XYZ406,Transport
UE10143,XYZ409,Mobility
UE10729,XYZ403,Radio
UE10694,XYZ402,Mobility
UE10862,XYZ402,Radio
UE10753,XYZ406,IMS
UE10192,XYZ407,Radio
UE10464,XYZ406,Radio
UE10783,XYZ403,Transport
UE10374,XYZ405,Transport
UE10676,XYZ408,Transport
UE10691,XYZ406,Radio
UE10628,XYZ402,Mobility
UE10265,XYZ407,Transport
UE10377,XYZ408,Transport
UE10549,XYZ404,Radio
UE10555,XYZ401,IMS
UE10862,XYZ402,IMS
UE10073,XYZ404,Mobility
UE10437,XYZ407,IMS
UE10880,XYZ402,Transport
UE10225,XYZ406,Transport
UE10818,XYZ402,Mobility
UE10307,XYZ407,Transport
UE10965,XYZ402,IMS
UE10347,XYZ403,Transport
UE10475,XYZ409,Radio
UE10314,XYZ404,Radio
UE10524,XYZ405,Radio
UE10424,XYZ409,IMS
UE10523,XYZ407,Radio
UE10561,XYZ408,Core
UE10999,XYZ403,IMS
UE10824,XYZ404,Radio
UE10945,XYZ407,Mobility
UE10248,XYZ404,Core
UE10630,XYZ402,Core
UE10568,XYZ410,Mobility
UE10181,XYZ406,Core
UE10961,XYZ409,IMS
UE10775,XYZ402,Core
UE10105,XYZ401,Mobility
UE10190,XYZ408,Core
UE10136,XYZ401,Core
UE10699,XYZ401,Mobility
UE10119,XYZ403,Core
UE10753,XYZ405,IMS
UE10830,XYZ409,Core
UE10071,XYZ410,Radio
UE10754,XYZ402,Radio
UE10130,XYZ401,IMS
UE10456,XYZ401,Core
UE10780,XYZ408,IMS
UE10904,XYZ410,Core
UE10478,XYZ410,Radio
UE10984,XYZ410,Mobility
UE10051,XYZ402,IMS
UE10573,XYZ409,Mobility
UE10118,XYZ409,Radio
UE10876,XYZ402,Core
UE10263,XYZ403,Transport
UE10238,XYZ402,Mobility
UE10350,XYZ406,Core
UE10892,XYZ407,Mobility
UE10254,XYZ406,Radio
UE10684,XYZ403,Radio
UE10308,XYZ403,IMS
UE10748,XYZ402,Radio
UE10830,XYZ402,Radio
UE10606,XYZ405,Mobility
UE10848,XYZ408,Radio
UE10494,XYZ406,Radio
UE10056,XYZ409,Mobility
UE10949,XYZ405,Radio
UE10402,XYZ410,Radio
UE10066,XYZ404,IMS
UE10045,XYZ409,Radio
UE10605,XYZ410,Radio
UE10649,XYZ405,IMS
UE10368,XYZ401,Mobility
UE10604,XYZ405,Radio
UE10231,XYZ405,Mobility
UE10401,XYZ405,Mobility
UE10907,XYZ402,Mobility
UE10560,XYZ406,Radio
UE10022,XYZ405,IMS
UE10573,XYZ402,Mobility
UE10266,XYZ410,IMS
UE10840,XYZ408,Core
UE10117,XYZ406,IMS
UE10951,XYZ410,Core
UE10599,XYZ403,IMS
UE10600,XYZ409,Mobility
UE10054,XYZ404,IMS
UE10152,XYZ403,IMS
UE10238,XYZ407,Core
UE10264,XYZ408,Core
UE10267,XYZ407,Radio
UE10906,XYZ401,Mobility
UE10112,XYZ401,Radio
UE10165,XYZ405,Core
UE10667,XYZ408,IMS
UE10007,XYZ410,Core
UE10713,XYZ403,Core
UE10216,XYZ408,IMS
UE10430,XYZ403,Radio
UE10291,XYZ404,IMS
UE10892,XYZ410,IMS
UE10049,XYZ407,Core
UE10106,XYZ403,Mobility
UE10008,XYZ404,Mobility
UE10744,XYZ408,Mobility
UE10699,XYZ404,Core
UE10455,XYZ409,Mobility
UE10322,XYZ404,Mobility
UE10308,XYZ404,Core
UE10849,XYZ405,Mobility
UE10621,XYZ401,Radio
UE10994,XYZ407,Core
UE10144,XYZ409,Core
UE10739,XYZ409,IMS
UE10820,XYZ401,Mobility
UE10411,XYZ406,Radio
UE10113,XYZ403,Transport
UE10574,XYZ404,Core
UE10398,XYZ408,Mobility
UE10274,XYZ404,Transport
UE10123,XYZ408,Transport
UE10085,XYZ404,IMS
UE10581,XYZ409,Transport
UE10046,XYZ406,Mobility
UE10710,XYZ401,Mobility
UE10875,XYZ410,Radio
UE10943,XYZ402,Radio
UE10200,XYZ407,Transport
UE10275,XYZ410,Mobility
UE10548,XYZ407,IMS
UE10714,XYZ403,Core
UE10129,XYZ401,Core
UE10447,XYZ408,IMS
UE10981,XYZ410,Core
UE10803,XYZ410,Core
UE10388,XYZ407,IMS
UE10575,XYZ410,IMS
UE10262,XYZ408,Mobility
UE10965,XYZ401,IMS
UE10631,XYZ403,Mobility
UE10277,XYZ402,IMS
UE10713,XYZ401,IMS
UE10045,XYZ405,IMS
UE10167,XYZ403,IMS
UE10444,XYZ410,Mobility
UE10621,XYZ408,Mobility
UE10045,XYZ406,Radio
UE10723,XYZ410,Mobility
UE10539,XYZ409,Mobility
UE10086,XYZ409,Core
UE10802,XYZ406,IMS
UE10384,XYZ402,Mobility
UE10668,XYZ409,IMS
UE10264,XYZ402,IMS
UE10776,XYZ403,Core
UE10021,XYZ406,IMS
UE10767,XYZ402,Mobility
UE10702,XYZ405,IMS
UE10449,XYZ402,Radio
UE10975,XYZ404,Radio
UE10231,XYZ403,Core
UE10185,XYZ405,Mobility
UE10325,XYZ406,Core
UE10182,XYZ407,Radio
UE10396,XYZ410,Mobility
UE10480,XYZ408,IMS
UE10402,XYZ409,Mobility
UE10462,XYZ404,Radio
UE10416,XYZ404,Mobility
UE10201,XYZ407,IMS
UE10064,XYZ410,Core
UE10955,XYZ410,Core
UE10907,XYZ409,Mobility
UE10554,XYZ402,Core
UE10732,XYZ406,Mobility
UE10016,XYZ410,Radio
UE10835,XYZ410,Radio
UE10796,XYZ408,IMS
UE10182,XYZ405,Radio
UE10390,XYZ405,Radio
UE10043,XYZ408,Transport
UE10972,XYZ401,Mobility
UE10900,XYZ406,Core
UE10699,XYZ410,Core
UE10901,XYZ409,Mobility
UE10481,XYZ406,Core
UE10262,XYZ407,Radio
UE10173,XYZ404,Mobility
UE10440,XYZ410,Core
UE10565,XYZ401,IMS
UE10219,XYZ409,IMS
UE10557,XYZ406,Mobility
UE10393,XYZ403,Core
UE10771,XYZ404,IMS
UE10194,XYZ410,Core
UE10408,XYZ406,Mobility
UE10470,XYZ406,Mobility
UE10346,XYZ409,Core
UE10461,XYZ404,Core
UE10060,XYZ405,Core
UE10671,XYZ403,IMS
UE10150,XYZ402,IMS
UE10110,XYZ408,IMS
UE10487,XYZ410,IMS
UE10548,XYZ409,Mobility
UE10002,XYZ410,Radio
UE10482,XYZ409,IMS
UE10012,XYZ405,Core
UE10161,XYZ409,IMS
UE10343,XYZ404,Radio
UE10448,XYZ402,Transport
UE10331,XYZ403,IMS
UE10263,XYZ401,IMS
UE10082,XYZ405,Mobility
UE10776,XYZ401,Core
UE10923,XYZ401,Core
UE10333,XYZ407,Mobility
UE10379,XYZ402,Mobility
UE10218,XYZ408,Radio
UE10657,XYZ406,Core
UE10809,XYZ404,Core
UE10808,XYZ409,Mobility
UE10453,XYZ410,Mobility
UE10672,XYZ408,Core
UE10740,XYZ410,Mobility
UE10745,XYZ403,Radio
UE10088,XYZ403,Mobility
UE10332,XYZ404,Radio
UE10309,XYZ409,IMS
UE10726,XYZ409,Core
UE10419,XYZ405,Mobility
UE10608,XYZ409,Core
UE10724,XYZ406,Radio
UE10353,XYZ408,Core
UE10823,XYZ408,Core
UE10099,XYZ410,Mobility
UE10144,XYZ407,Core
UE10009,XYZ404,Mobility
UE10982,XYZ404,IMS
UE10043,XYZ406,Mobility
UE10762,XYZ409,Radio
UE10385,XYZ407,Core
UE10738,XYZ405,Core
UE10909,XYZ405,Core
UE10760,XYZ408,Mobility
UE10494,XYZ406,Mobility
UE10492,XYZ401,Mobility
UE10168,XYZ401,Radio
UE10641,XYZ409,Mobility
UE10530,XYZ408,Core
UE10335,XYZ406,IMS
UE10746,XYZ401,Radio
UE10856,XYZ402,IMS
UE10512,XYZ410,Radio
UE10129,XYZ403,Radio
UE10538,XYZ410,Core
UE10513,XYZ403,Mobility
UE10249,XYZ402,Core
UE10733,XYZ402,Core
UE10946,XYZ406,Core
UE10137,XYZ407,IMS
UE10274,XYZ404,Radio
UE10463,XYZ401,IMS
UE10140,XYZ406,Mobility
UE10943,XYZ407,Core
UE10255,XYZ404,Radio
UE10881,XYZ406,Mobility
