timestamp,cell_id,ho_attempt,rach_attempt,dl_tp,ul_tp,cqi,ho_success,rach_success,rsrp,rsrq,sinr
2026-07-01 00:00:00,XYZ401,2109,430,199,17,3,1598,254,-116.4,-12.3,10.9
2026-07-01 00:00:00,XYZ402,1247,418,205,33,5,993,196,-115.0,-10.6,3.2
2026-07-01 00:00:00,XYZ403,813,612,204,41,5,610,340,-117.6,-11.5,2.4
2026-07-01 00:00:00,XYZ404,2036,450,133,26,5,1643,289,-118.1,-15.7,-13.7
2026-07-01 00:00:00,XYZ405,2066,376,345,32,9,1820,261,-108.3,-11.8,3.5
2026-07-01 00:00:00,XYZ406,1369,644,487,83,9,1219,486,-108.9,-11.1,4.7
2026-07-01 00:00:00,XYZ407,2047,430,348,69,9,1792,328,-103.5,-8.8,11.3
2026-07-01 00:00:00,XYZ408,914,414,441,80,12,826,364,-107.9,-10.8,8.8
2026-07-01 00:00:00,XYZ409,1235,838,612,126,15,1177,759,-94.3,-9.2,16.6
2026-07-01 00:00:00,XYZ410,1617,550,722,121,15,1617,542,-81.2,-8.3,18.7
2026-07-01 01:00:00,XYZ401,2193,570,211,20,7,1557,317,-123.6,-14.3,-7.1
2026-07-01 01:00:00,XYZ402,1899,453,211,38,8,1450,219,-119.5,-12.5,-1.1
2026-07-01 01:00:00,XYZ403,1825,288,218,34,4,1373,153,-113.1,-14.5,-5.3
2026-07-01 01:00:00,XYZ404,1886,180,118,13,9,1587,104,-114.7,-11.1,6.3
2026-07-01 01:00:00,XYZ405,1293,267,360,77,8,1179,174,-108.8,-11.6,-4.1
2026-07-01 01:00:00,XYZ406,1138,451,310,56,9,1037,327,-106.9,-10.2,18.2
2026-07-01 01:00:00,XYZ407,1617,628,483,78,10,1525,501,-102.3,-11.3,5.4
2026-07-01 01:00:00,XYZ408,814,252,541,64,10,752,213,-104.0,-10.4,10.9
2026-07-01 01:00:00,XYZ409,1794,764,711,92,13,1746,734,-94.0,-10.7,15.0
2026-07-01 01:00:00,XYZ410,1641,658,761,146,15,1641,637,-88.5,-10.2,17.5
2026-07-01 02:00:00,XYZ401,1023,639,215,43,6,736,368,-115.6,-14.9,1.9
2026-07-01 02:00:00,XYZ402,1000,231,191,26,6,804,104,-120.1,-12.5,3.1
2026-07-01 02:00:00,XYZ403,1785,240,199,35,8,1350,148,-115.8,-15.0,-0.6
2026-07-01 02:00:00,XYZ404,1938,857,111,21,5,1503,527,-114.3,-10.1,-2.6
2026-07-01 02:00:00,XYZ405,917,723,272,31,8,818,530,-102.4,-9.1,15.6
2026-07-01 02:00:00,XYZ406,1045,763,352,74,7,893,596,-100.6,-12.4,3.2
2026-07-01 02:00:00,XYZ407,1218,451,420,61,11,1080,347,-108.6,-11.0,11.6
2026-07-01 02:00:00,XYZ408,1953,282,399,53,13,1774,246,-102.1,-8.0,9.1
