ue_id,cell_id,rsrp,rsrq,sinr,msg_failure
UE10000,XYZ401,-119.0,-10.9,7.2,SUCCESS
UE10001,XYZ402,-112.8,-11.7,5.7,SUCCESS
UE10002,XYZ403,-119.1,-9.9,9.7,SUCCESS
UE10003,XYZ404,-110.8,-13.7,4.7,SUCCESS
UE10004,XYZ405,-104.3,-11.3,-1.5,SUCCESS
UE10005,XYZ406,-104.1,-11.1,9.7,SUCCESS
UE10006,XYZ407,-103.8,-12.1,-2.1,SUCCESS
UE10007,XYZ408,-102.3,-9.8,8.4,MSG3
UE10008,XYZ409,-95.2,-10.4,10.9,SUCCESS
UE10009,XYZ410,-91.6,-8.9,19.1,SUCCESS
UE10010,XYZ401,-113.3,-13.7,-5.9,SUCCESS
UE10011,XYZ402,-115.7,-14.1,-4.2,SUCCESS
UE10012,XYZ403,-114.6,-13.9,-4.3,SUCCESS
UE10013,XYZ404,-111.5,-12.5,8.1,SUCCESS
UE10014,XYZ405,-104.3,-13.3,-0.7,SUCCESS
UE10015,XYZ406,-106.4,-9.3,9.9,SUCCESS
UE10016,XYZ407,-103.7,-12.2,7.4,SUCCESS
UE10017,XYZ408,-105.8,-9.6,9.2,SUCCESS
UE10018,XYZ409,-87.8,-10.9,15.2,SUCCESS
UE10019,XYZ410,-88.3,-8.1,20.4,MSG3
UE10020,XYZ401,-111.2,-11.4,4.2,SUCCESS
UE10021,XYZ402,-125.3,-11.7,4.7,MSG3
UE10022,XYZ403,-118.8,-17.0,-12.1,SUCCESS
UE10023,XYZ404,-109.4,-12.8,4.9,SUCCESS
UE10024,XYZ405,-112.5,-10.7,10.5,SUCCESS
UE10025,XYZ406,-107.0,-12.3,10.9,SUCCESS
UE10026,XYZ407,-109.1,-9.7,14.3,SUCCESS
UE10027,XYZ408,-95.7,-11.5,3.8,SUCCESS
UE10028,XYZ409,-97.1,-11.6,12.8,SUCCESS
UE10029,XYZ410,-91.4,-8.9,19.1,SUCCESS
UE10030,XYZ401,-117.4,-10.7,3.7,SUCCESS
UE10031,XYZ402,-112.9,-15.6,-7.4,MSG4
UE10032,XYZ403,-113.4,-11.7,-6.8,MSG1
UE10033,XYZ404,-109.8,-12.2,8.2,SUCCESS
UE10034,XYZ405,-107.3,-13.1,3.4,SUCCESS
UE10035,XYZ406,-101.3,-12.1,2.3,SUCCESS
UE10036,XYZ407,-109.1,-11.5,11.7,SUCCESS
UE10037,XYZ408,-106.5,-10.6,5.6,SUCCESS
UE10038,XYZ409,-94.4,-11.4,12.2,MSG3
UE10039,XYZ410,-90.5,-8.2,24.3,SUCCESS
UE10040,XYZ401,-112.0,-14.7,-10.9,MSG1
UE10041,XYZ402,-117.0,-16.2,-14.1,SUCCESS
UE10042,XYZ403,-113.5,-15.0,-0.6,SUCCESS
UE10043,XYZ404,-113.8,-12.5,-2.6,SUCCESS
UE10044,XYZ405,-111.3,-12.8,0.8,MSG4
UE10045,XYZ406,-98.0,-9.1,11.4,SUCCESS
UE10046,XYZ407,-99.4,-10.7,13.2,SUCCESS
UE10047,XYZ408,-105.8,-11.5,12.6,SUCCESS
UE10048,XYZ409,-89.1,-10.1,13.9,SUCCESS
UE10049,XYZ410,-87.4,-9.7,24.7,SUCCESS
UE10050,XYZ401,-104.4,-11.7,14.8,MSG1
UE10051,XYZ402,-116.0,-13.0,-11.2,MSG3
UE10052,XYZ403,-106.7,-13.7,2.2,SUCCESS
UE10053,XYZ404,-115.7,-13.8,0.6,SUCCESS
UE10054,XYZ405,-109.8,-8.9,8.5,SUCCESS
UE10055,XYZ406,-108.6,-9.0,18.0,MSG2
UE10056,XYZ407,-100.1,-11.9,6.5,SUCCESS
UE10057,XYZ408,-104.7,-10.7,7.8,SUCCESS
UE10058,XYZ409,-88.4,-11.1,18.8,SUCCESS
UE10059,XYZ410,-83.8,-7.7,19.7,SUCCESS
UE10060,XYZ401,-114.6,-13.7,-8.2,SUCCESS
UE10061,XYZ402,-126.8,-14.1,-9.1,MSG2
UE10062,XYZ403,-113.2,-12.4,-1.3,MSG3
UE10063,XYZ404,-110.9,-11.5,5.1,SUCCESS
UE10064,XYZ405,-113.6,-12.2,3.6,SUCCESS
UE10065,XYZ406,-105.2,-11.3,6.9,SUCCESS
UE10066,XYZ407,-107.9,-8.5,9.3,SUCCESS
UE10067,XYZ408,-105.9,-12.0,7.2,SUCCESS
UE10068,XYZ409,-90.2,-8.4,16.7,SUCCESS
UE10069,XYZ410,-90.0,-9.7,22.2,SUCCESS
UE10070,XYZ401,-129.5,-15.0,1.4,SUCCESS
UE10071,XYZ402,-105.0,-12.3,-3.6,SUCCESS
UE10072,XYZ403,-114.6,-11.4,9.0,SUCCESS
UE10073,XYZ404,-120.2,-11.4,11.1,SUCCESS
UE10074,XYZ405,-110.6,-13.3,-1.1,SUCCESS
UE10075,XYZ406,-103.4,-8.5,9.1,SUCCESS
UE10076,XYZ407,-106.9,-11.6,4.4,SUCCESS
UE10077,XYZ408,-99.8,-10.5,7.6,SUCCESS
UE10078,XYZ409,-91.3,-10.6,13.5,SUCCESS
UE10079,XYZ410,-92.2,-9.6,21.8,SUCCESS
UE10080,XYZ401,-109.0,-13.7,-0.7,MSG4
UE10081,XYZ402,-115.1,-13.6,1.5,MSG4
UE10082,XYZ403,-111.2,-13.7,-5.4,SUCCESS
UE10083,XYZ404,-117.0,-12.8,7.2,SUCCESS
UE10084,XYZ405,-114.9,-12.3,0.2,SUCCESS
UE10085,XYZ406,-104.0,-8.8,12.5,SUCCESS
UE10086,XYZ407,-108.3,-10.1,8.7,SUCCESS
UE10087,XYZ408,-103.4,-10.8,0.8,SUCCESS
UE10088,XYZ409,-88.7,-10.9,16.1,SUCCESS
UE10089,XYZ410,-88.9,-8.8,21.7,SUCCESS
UE10090,XYZ401,-111.7,-14.5,-16.5,SUCCESS
UE10091,XYZ402,-121.9,-12.5,10.2,SUCCESS
UE10092,XYZ403,-106.4,-10.4,-6.3,MSG1
UE10093,XYZ404,-113.8,-12.5,-11.3,SUCCESS
UE10094,XYZ405,-100.9,-11.1,1.9,SUCCESS
UE10095,XYZ406,-100.8,-13.7,6.7,SUCCESS
UE10096,XYZ407,-103.7,-12.8,5.2,MSG1
UE10097,XYZ408,-103.0,-12.6,8.9,SUCCESS
UE10098,XYZ409,-86.1,-9.3,13.4,SUCCESS
UE10099,XYZ410,-86.2,-7.3,21.7,SUCCESS
UE10100,XYZ401,-119.8,-12.8,-11.0,SUCCESS
UE10101,XYZ402,-109.4,-13.6,-2.9,MSG1
UE10102,XYZ403,-114.1,-11.8,-1.3,SUCCESS
UE10103,XYZ404,-110.9,-9.7,8.6,SUCCESS
UE10104,XYZ405,-108.8,-13.4,2.1,SUCCESS
UE10105,XYZ406,-111.3,-10.0,9.5,SUCCESS
UE10106,XYZ407,-102.8,-12.7,3.8,SUCCESS
UE10107,XYZ408,-102.4,-9.6,11.2,SUCCESS
UE10108,XYZ409,-90.0,-10.0,19.4,SUCCESS
UE10109,XYZ410,-88.1,-12.2,9.3,SUCCESS
UE10110,XYZ401,-117.3,-13.7,-8.7,MSG4
UE10111,XYZ402,-120.8,-9.9,4.8,MSG4
UE10112,XYZ403,-106.9,-12.0,2.9,SUCCESS
UE10113,XYZ404,-119.9,-11.7,-1.9,SUCCESS
UE10114,XYZ405,-115.3,-15.2,2.3,MSG3
UE10115,XYZ406,-96.9,-10.9,7.6,SUCCESS
UE10116,XYZ407,-102.7,-11.7,6.0,SUCCESS
UE10117,XYZ408,-103.8,-7.0,12.1,SUCCESS
UE10118,XYZ409,-88.5,-8.1,17.2,SUCCESS
UE10119,XYZ410,-86.7,-6.5,24.9,SUCCESS
UE10120,XYZ401,-120.4,-13.1,-8.3,MSG4
UE10121,XYZ402,-111.1,-15.2,-6.3,SUCCESS
UE10122,XYZ403,-115.2,-10.2,7.6,SUCCESS
UE10123,XYZ404,-114.1,-15.3,-5.8,SUCCESS
UE10124,XYZ405,-109.0,-12.8,2.3,MSG2
UE10125,XYZ406,-110.4,-11.8,1.9,MSG4
UE10126,XYZ407,-107.2,-11.3,7.5,MSG1
UE10127,XYZ408,-105.3,-10.2,2.9,SUCCESS
UE10128,XYZ409,-90.0,-9.7,12.5,SUCCESS
UE10129,XYZ410,-88.7,-8.4,20.6,SUCCESS
UE10130,XYZ401,-113.1,-17.3,-14.7,MSG3
UE10131,XYZ402,-121.2,-13.8,1.7,SUCCESS
UE10132,XYZ403,-116.4,-11.7,3.1,SUCCESS
UE10133,XYZ404,-105.3,-9.8,16.5,SUCCESS
UE10134,XYZ405,-108.3,-12.5,10.9,MSG4
UE10135,XYZ406,-98.8,-11.1,5.1,SUCCESS
UE10136,XYZ407,-104.5,-11.7,9.0,SUCCESS
UE10137,XYZ408,-101.9,-10.0,12.7,MSG1
UE10138,XYZ409,-92.8,-10.3,13.1,SUCCESS
UE10139,XYZ410,-86.2,-7.8,14.1,SUCCESS
UE10140,XYZ401,-113.3,-13.5,-13.0,MSG3
UE10141,XYZ402,-122.5,-12.6,-5.4,MSG3
UE10142,XYZ403,-118.0,-12.8,2.7,MSG4
UE10143,XYZ404,-105.1,-12.4,0.2,SUCCESS
UE10144,XYZ405,-109.1,-10.7,6.9,MSG1
UE10145,XYZ406,-117.1,-13.7,12.1,SUCCESS
UE10146,XYZ407,-104.9,-12.7,10.6,MSG1
UE10147,XYZ408,-99.8,-8.2,15.2,MSG3
UE10148,XYZ409,-93.1,-6.8,19.4,SUCCESS
