ue_id,cell_id,rsrp,sinr,cause
UE10718,XYZ408,-114,-10,Coverage
UE10946,XYZ401,-96,2,Post_HO
UE10436,XYZ402,-93,18,Post_HO
UE10526,XYZ408,-108,-6,None
UE10689,XYZ406,-112,17,Post_HO
UE10966,XYZ410,-104,10,Interference
UE10377,XYZ402,-105,-3,Interference
UE10586,XYZ402,-125,6,Coverage
UE10103,XYZ407,-83,12,Coverage
UE10805,XYZ405,-111,12,Interference
UE10679,XYZ405,-90,2,Coverage
UE10961,XYZ408,-104,-2,Coverage
UE10626,XYZ407,-94,-9,Interference
UE10038,XYZ409,-93,8,Interference
UE10457,XYZ404,-85,9,Interference
UE10363,XYZ410,-87,6,None
UE10784,XYZ404,-103,-4,None
UE10134,XYZ402,-83,19,Interference
UE10373,XYZ403,-124,15,Post_HO
UE10231,XYZ401,-124,-8,Interference
UE10038,XYZ401,-88,8,None
UE10963,XYZ407,-97,8,Coverage
UE10802,XYZ405,-123,13,Post_HO
UE10818,XYZ403,-87,-2,Post_HO
UE10046,XYZ407,-119,-1,Coverage
UE10035,XYZ402,-90,18,Post_HO
UE10831,XYZ403,-97,3,Coverage
UE10094,XYZ401,-89,7,None
UE10984,XYZ408,-90,15,Post_HO
UE10360,XYZ402,-103,4,Post_HO
UE10524,XYZ407,-81,15,Coverage
UE10145,XYZ409,-110,-10,Coverage
UE10916,XYZ406,-95,19,None
UE10367,XYZ402,-92,14,Coverage
UE10064,XYZ402,-125,-5,Coverage
UE10227,XYZ409,-108,19,None
UE10753,XYZ410,-86,4,Interference
UE10519,XYZ408,-83,14,Interference
UE10815,XYZ409,-111,-5,Coverage
UE10852,XYZ404,-109,7,None
UE10554,XYZ404,-82,-10,Interference
UE10755,XYZ402,-116,19,None
UE10180,XYZ410,-106,13,Coverage
UE10500,XYZ401,-120,-8,Coverage
UE10596,XYZ410,-118,6,None
UE10154,XYZ404,-81,5,Post_HO
UE10786,XYZ410,-92,-3,Coverage
UE10534,XYZ410,-94,17,Coverage
UE10626,XYZ408,-84,6,Coverage
UE10817,XYZ402,-122,-3,Coverage
UE10434,XYZ408,-82,6,None
UE10810,XYZ401,-87,14,None
UE10098,XYZ401,-106,19,None
UE10615,XYZ404,-102,-2,None
UE10371,XYZ407,-102,1,Post_HO
UE10562,XYZ409,-100,18,None
UE10361,XYZ405,-101,14,None
UE10111,XYZ402,-90,8,Coverage
UE10452,XYZ407,-119,-7,Post_HO
UE10755,XYZ402,-116,10,Coverage
UE10168,XYZ409,-114,11,Post_HO
UE10583,XYZ409,-125,14,Interference
UE10138,XYZ403,-101,18,Post_HO
UE10847,XYZ408,-110,0,Post_HO
UE10230,XYZ404,-121,17,Coverage
UE10238,XYZ403,-107,-7,Post_HO
UE10983,XYZ401,-122,3,Post_HO
UE10252,XYZ405,-120,3,Coverage
UE10980,XYZ404,-100,-5,Interference
UE10435,XYZ401,-87,18,Interference
UE10918,XYZ410,-87,6,Interference
UE10560,XYZ408,-117,-9,Post_HO
UE10421,XYZ408,-81,-3,Coverage
UE10302,XYZ408,-112,-7,Interference
UE10071,XYZ403,-117,-1,Interference
UE10262,XYZ406,-111,-4,Interference
UE10833,XYZ407,-89,-7,Interference
UE10221,XYZ409,-106,5,Coverage
UE10076,XYZ405,-118,3,Interference
UE10061,XYZ409,-94,5,Post_HO
UE10470,XYZ406,-105,14,Post_HO
UE10156,XYZ410,-85,-2,Coverage
UE10805,XYZ410,-107,-7,None
UE10124,XYZ410,-97,18,Interference
UE10740,XYZ404,-95,13,Interference
UE10851,XYZ401,-120,-5,Post_HO
UE10160,XYZ401,-122,-10,Coverage
UE10540,XYZ410,-83,-4,None
UE10625,XYZ405,-97,-10,Post_HO
UE10590,XYZ403,-84,8,None
UE10534,XYZ405,-123,-3,Coverage
UE10105,XYZ405,-125,14,Coverage
UE10130,XYZ401,-82,-8,Coverage
UE10356,XYZ408,-111,-10,Post_HO
UE10988,XYZ405,-105,-10,Coverage
UE10684,XYZ405,-95,-4,Post_HO
UE10775,XYZ409,-119,10,Post_HO
UE10853,XYZ408,-109,2,Interference
UE10884,XYZ401,-107,19,Post_HO
UE10796,XYZ403,-87,-10,Post_HO
UE10001,XYZ407,-123,5,Interference
UE10232,XYZ401,-96,11,None
UE10368,XYZ401,-91,19,Interference
UE10250,XYZ405,-97,11,Interference
UE10945,XYZ409,-112,3,Coverage
UE10832,XYZ406,-91,-7,Coverage
UE10107,XYZ410,-98,12,Interference
UE10275,XYZ402,-96,12,Coverage
UE10179,XYZ409,-100,1,Interference
UE10724,XYZ406,-119,14,Coverage
UE10292,XYZ405,-87,1,Post_HO
UE10583,XYZ405,-95,6,Coverage
UE10794,XYZ403,-121,10,Coverage
UE10174,XYZ406,-91,4,Post_HO
UE10122,XYZ404,-112,-1,Interference
UE10226,XYZ410,-90,-8,Coverage
UE10901,XYZ402,-99,12,Coverage
UE10443,XYZ403,-102,9,Post_HO
UE10812,XYZ409,-86,9,Post_HO
UE10427,XYZ409,-97,18,Post_HO
UE10082,XYZ406,-81,1,None
UE10764,XYZ410,-104,-10,Post_HO
UE10657,XYZ410,-118,-10,Interference
UE10631,XYZ409,-111,-1,Coverage
UE10064,XYZ404,-121,7,Coverage
UE10280,XYZ405,-122,4,None
UE10794,XYZ410,-115,-9,Coverage
UE10390,XYZ406,-108,6,Coverage
UE10427,XYZ409,-84,-3,Interference
UE10617,XYZ405,-96,11,Coverage
UE10924,XYZ408,-111,11,Interference
UE10990,XYZ401,-120,15,None
