cell_id,cqi,prb_util,dl_tp,issue
XYZ409,9,17,590,Congestion
XYZ403,15,27,269,None
XYZ408,13,27,671,RF
XYZ403,5,27,866,RF
XYZ402,6,11,569,Scheduler
XYZ405,13,85,141,RF
XYZ404,11,81,939,Congestion
XYZ405,8,60,84,Backhaul
XYZ406,4,19,677,Scheduler
XYZ403,2,84,321,Backhaul
XYZ401,15,23,144,RF
XYZ404,10,35,331,None
XYZ406,8,56,210,Congestion
XYZ402,2,39,794,RF
XYZ402,5,65,892,Congestion
XYZ401,15,51,469,RF
XYZ409,13,13,827,RF
XYZ403,6,20,713,RF
XYZ402,5,33,178,Scheduler
XYZ404,6,95,372,Backhaul
XYZ406,6,76,839,Scheduler
XYZ401,3,46,818,Backhaul
XYZ409,11,11,693,Backhaul
XYZ409,11,21,282,Congestion
XYZ408,3,30,748,Scheduler
XYZ406,9,78,931,Scheduler
XYZ404,3,80,425,RF
XYZ402,3,73,712,Backhaul
XYZ408,11,77,622,Scheduler
XYZ407,14,52,36,Congestion
XYZ404,2,63,656,Scheduler
XYZ403,7,71,279,RF
XYZ406,10,95,976,Congestion
XYZ401,10,82,909,Backhaul
XYZ402,4,99,374,Congestion
XYZ407,1,21,508,Scheduler
XYZ403,6,10,233,Congestion
XYZ401,5,81,258,Backhaul
XYZ402,14,42,199,Congestion
XYZ410,11,73,438,Scheduler
XYZ410,2,77,703,RF
XYZ409,6,23,162,RF
XYZ407,1,23,336,Backhaul
XYZ407,3,18,263,RF
XYZ410,4,82,251,Scheduler
XYZ408,13,35,703,Scheduler
XYZ408,3,58,808,Congestion
XYZ409,15,26,608,Scheduler
XYZ402,13,77,322,Scheduler
XYZ408,6,69,350,Scheduler
XYZ408,11,12,580,Backhaul
XYZ405,4,34,968,Congestion
XYZ405,14,30,267,Backhaul
XYZ404,1,21,302,RF
XYZ405,5,63,306,RF
XYZ402,5,10,959,Scheduler
XYZ402,9,10,51,RF
XYZ405,8,54,519,RF
XYZ403,15,55,689,Scheduler
XYZ401,8,57,549,Scheduler
XYZ409,5,16,400,Congestion
XYZ402,8,19,82,Backhaul
XYZ410,14,24,147,Backhaul
XYZ402,10,49,547,Congestion
XYZ404,7,20,182,Backhaul
XYZ402,1,65,977,Backhaul
XYZ407,12,55,270,Congestion
XYZ410,7,54,668,Congestion
XYZ401,11,96,849,Backhaul
XYZ402,8,22,314,Backhaul
XYZ405,3,36,198,Backhaul
XYZ402,9,90,248,Backhaul
XYZ409,8,59,902,Scheduler
XYZ404,2,70,413,Congestion
XYZ409,6,22,711,RF
XYZ401,4,21,415,Scheduler
XYZ401,3,38,91,RF
XYZ401,11,94,337,RF
XYZ404,6,93,918,Congestion
XYZ409,10,29,614,Congestion
XYZ408,13,40,398,Scheduler
XYZ407,15,17,926,Congestion
XYZ401,9,33,155,Backhaul
XYZ403,2,84,749,Congestion
XYZ409,10,48,640,RF
XYZ409,10,42,397,Backhaul
XYZ405,10,51,938,Congestion
XYZ406,5,24,138,Congestion
XYZ406,6,77,925,RF
XYZ410,4,74,549,Backhaul
XYZ404,7,41,863,RF
XYZ401,2,20,954,Congestion
XYZ405,7,46,685,Scheduler
XYZ401,2,28,542,Scheduler
XYZ401,1,60,669,RF
XYZ405,11,43,406,Scheduler
XYZ405,5,80,593,Backhaul
XYZ407,2,69,602,RF
XYZ402,8,93,592,Backhaul
XYZ406,12,62,663,Scheduler
XYZ402,12,21,592,Scheduler
XYZ410,12,71,923,Congestion
XYZ405,8,75,889,Backhaul
XYZ404,1,95,288,RF
XYZ410,4,57,543,Congestion
XYZ405,14,49,566,Backhaul
XYZ402,9,33,505,None
XYZ408,5,59,457,Backhaul
XYZ408,12,77,582,Scheduler
XYZ406,11,97,574,Congestion
XYZ403,10,52,759,Scheduler
XYZ404,13,26,130,RF
XYZ401,6,92,341,Backhaul
XYZ409,3,64,546,RF
XYZ410,5,43,196,RF
XYZ405,14,79,693,Scheduler
XYZ408,12,69,570,RF
XYZ403,13,60,557,Congestion
XYZ404,13,86,643,Congestion
XYZ404,13,82,984,Congestion
XYZ408,1,44,963,RF
XYZ409,8,43,492,RF
XYZ403,11,25,582,RF
XYZ407,15,91,898,Backhaul
XYZ409,6,27,407,None
XYZ402,12,47,117,Backhaul
XYZ404,2,52,430,RF
XYZ403,4,41,394,Backhaul
XYZ408,4,16,189,RF
XYZ404,9,96,75,RF
XYZ409,9,96,752,Congestion
XYZ401,5,55,344,Backhaul
XYZ401,12,70,677,Scheduler
XYZ404,3,27,976,Backhaul
XYZ403,1,80,279,Congestion
XYZ403,6,49,660,Congestion
XYZ410,8,97,581,Congestion
XYZ402,1,87,359,RF
XYZ410,11,59,857,Scheduler
XYZ410,1,14,423,Congestion
XYZ402,15,63,551,Scheduler
XYZ408,11,95,193,RF
XYZ401,7,67,814,Scheduler
XYZ408,7,31,557,None
XYZ410,2,83,179,Scheduler
XYZ403,3,99,29,Scheduler
XYZ402,2,88,613,Congestion
XYZ409,6,47,275,Backhaul
XYZ405,13,58,636,Scheduler
XYZ405,13,10,671,Backhaul
XYZ406,8,87,733,Scheduler
XYZ404,8,45,363,None
XYZ407,15,37,555,Scheduler
XYZ407,1,44,392,Congestion
XYZ409,11,69,454,Congestion
XYZ406,9,71,953,Scheduler
XYZ401,11,96,65,Congestion
XYZ409,8,55,748,Scheduler
XYZ410,9,92,923,RF
XYZ409,13,91,74,Congestion
XYZ405,14,88,97,Backhaul
XYZ407,13,70,510,Scheduler
XYZ401,9,74,690,Congestion
XYZ404,11,98,875,Congestion
XYZ410,12,35,291,Congestion
XYZ404,6,44,679,RF
XYZ405,3,66,569,Scheduler
XYZ406,1,88,130,Congestion
XYZ404,11,72,34,Congestion
XYZ406,8,13,97,Backhaul
XYZ410,10,88,520,RF
XYZ407,3,51,607,Congestion
XYZ403,13,54,437,Congestion
XYZ409,7,48,859,Scheduler
XYZ408,13,74,294,Scheduler
XYZ401,10,31,513,Congestion
XYZ402,6,20,216,Scheduler
XYZ402,3,46,395,Congestion
XYZ410,6,99,750,Backhaul
XYZ409,12,60,82,Backhaul
XYZ409,3,67,380,Backhaul
