Timestamp,latitude,longitude,SS-RSRP,SS-RSRQ,SS-SINR,CQI,MCS_DL,BLER,RI,PCI,SSB_INDEX,NR-ARFCN,Download Speed (Mbps)
2026-06-10 10:00:00,32.937044,-96.984072,-82,-9,22,14,25,0.8,3,101,2,633984,520
2026-06-10 10:00:30,32.945500,-96.984072,-85,-10,19,13,23,1.2,3,101,2,633984,480
2026-06-10 10:01:00,32.952000,-96.984072,-88,-11,16,12,20,2.1,2,101,1,633984,410
2026-06-10 10:01:30,32.958500,-96.984072,-92,-12,12,10,16,4.5,2,101,0,633984,320
2026-06-10 10:02:00,32.928500,-96.984072,-86,-10,18,12,22,1.5,2,101,2,633984,450
2026-06-10 10:02:30,32.921000,-96.984072,-94,-13,10,9,14,6.2,1,101,0,633984,280
2026-06-10 10:03:00,32.937044,-96.972000,-84,-9,20,13,24,1.0,3,101,3,633984,500
2026-06-10 10:03:30,32.937044,-96.962000,-87,-11,15,11,19,3.0,2,101,2,633984,380
2026-06-10 10:04:00,32.937044,-96.952000,-91,-12,11,10,15,5.0,2,101,1,633984,300
2026-06-10 10:04:30,32.937044,-96.996000,-83,-9,21,14,25,0.9,3,101,3,633984,510
2026-06-10 10:05:00,32.937044,-97.006000,-89,-11,14,11,18,3.8,2,101,1,633984,350
2026-06-10 10:05:30,32.937044,-97.016000,-96,-14,8,8,12,8.5,1,101,0,633984,220
2026-06-10 10:06:00,32.948000,-96.972000,-81,-8,23,15,26,0.6,4,101,3,633984,540
2026-06-10 10:06:30,32.948000,-96.996000,-90,-12,13,10,17,4.2,2,101,1,633984,330
2026-06-10 10:07:00,32.926000,-96.972000,-93,-13,9,9,13,7.0,1,101,0,633984,250
2026-06-10 10:07:30,32.926000,-96.996000,-97,-15,6,7,10,11.0,1,101,0,633984,180
2026-06-10 10:08:00,32.940500,-96.978500,-80,-8,24,15,27,0.5,4,101,3,633984,560
2026-06-10 10:08:30,32.933500,-96.989500,-84,-9,19,13,22,1.4,3,101,2,633984,470
2026-06-10 10:09:00,32.951000,-96.965000,-88,-11,14,11,18,3.5,2,101,2,633984,360
2026-06-10 10:09:30,32.923000,-97.003000,-99,-16,5,6,9,12.5,1,101,0,633984,150
2026-06-10 10:10:00,32.955000,-96.978000,-86,-10,17,12,21,2.0,2,101,2,633984,430
2026-06-10 10:10:30,32.919500,-96.965500,-95,-14,7,8,11,9.0,1,101,0,633984,200
2026-06-10 10:11:00,32.942000,-96.968000,-79,-8,25,15,27,0.4,4,101,3,633984,580
2026-06-10 10:11:30,32.932000,-96.999000,-91,-12,12,10,16,4.8,2,101,1,633984,310
2026-06-10 10:12:00,32.950500,-96.990500,-87,-10,16,11,20,2.8,2,101,2,633984,400
2026-06-10 10:12:30,32.924500,-96.978500,-94,-13,8,9,12,7.5,1,101,0,633984,240
2026-06-10 10:13:00,32.939000,-96.961000,-82,-9,21,14,24,0.7,3,101,3,633984,530
2026-06-10 10:13:30,32.934500,-96.971500,-85,-10,18,12,22,1.6,3,101,2,633984,460
2026-06-10 10:14:00,32.946500,-96.991500,-89,-11,13,10,17,4.0,2,101,1,633984,340
2026-06-10 10:14:30,32.929000,-96.991000,-92,-12,10,9,14,6.0,1,101,0,633984,270
2026-06-10 10:15:00,32.941500,-96.995500,-88,-11,15,11,19,3.2,2,101,2,633984,370
