timestamp,cell_id,event_type,details
2026-07-01 00:00:00,XYZ402,PCI_CONFLICT,ANR event
2026-07-01 01:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 02:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
2026-07-01 03:00:00,XYZ402,PCI_CONFLICT,ANR event
2026-07-01 04:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 05:00:00,XYZ401,ANR_ADD_FAIL,ANR event
2026-07-01 06:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 07:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 08:00:00,XYZ401,ANR_ADD_FAIL,ANR event
2026-07-01 09:00:00,XYZ402,MISSING_NEIGHBOR,ANR event
2026-07-01 10:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 11:00:00,XYZ403,PCI_CONFLICT,ANR event
2026-07-01 12:00:00,XYZ402,PCI_CONFLICT,ANR event
2026-07-01 13:00:00,XYZ403,PCI_CONFLICT,ANR event
2026-07-01 14:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 15:00:00,XYZ403,PCI_CONFLICT,ANR event
2026-07-01 16:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 17:00:00,XYZ403,MISSING_NEIGHBOR,ANR event
2026-07-01 18:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
2026-07-01 19:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
2026-07-01 20:00:00,XYZ403,PCI_CONFLICT,ANR event
2026-07-01 21:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 22:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 23:00:00,XYZ403,ANR_ADD_FAIL,ANR event
2026-07-01 00:00:00,XYZ403,ANR_ADD_FAIL,ANR event
2026-07-01 01:00:00,XYZ401,ANR_ADD_FAIL,ANR event
2026-07-01 02:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 03:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 04:00:00,XYZ403,ANR_ADD_FAIL,ANR event
2026-07-01 05:00:00,XYZ401,ANR_ADD_FAIL,ANR event
2026-07-01 06:00:00,XYZ403,PCI_CONFLICT,ANR event
2026-07-01 07:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 08:00:00,XYZ402,MISSING_NEIGHBOR,ANR event
2026-07-01 09:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 10:00:00,XYZ402,MISSING_NEIGHBOR,ANR event
2026-07-01 11:00:00,XYZ403,ANR_ADD_FAIL,ANR event
2026-07-01 12:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 13:00:00,XYZ402,MISSING_NEIGHBOR,ANR event
2026-07-01 14:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 15:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 16:00:00,XYZ402,MISSING_NEIGHBOR,ANR event
2026-07-01 17:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
2026-07-01 18:00:00,XYZ401,ANR_ADD_FAIL,ANR event
2026-07-01 19:00:00,XYZ402,MISSING_NEIGHBOR,ANR event
2026-07-01 20:00:00,XYZ403,MISSING_NEIGHBOR,ANR event
2026-07-01 21:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 22:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
2026-07-01 23:00:00,XYZ403,MISSING_NEIGHBOR,ANR event
2026-07-01 00:00:00,XYZ403,ANR_ADD_FAIL,ANR event
2026-07-01 01:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 02:00:00,XYZ402,MISSING_NEIGHBOR,ANR event
2026-07-01 03:00:00,XYZ402,ANR_ADD_FAIL,ANR event
2026-07-01 04:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
2026-07-01 05:00:00,XYZ401,PCI_CONFLICT,ANR event
2026-07-01 06:00:00,XYZ402,PCI_CONFLICT,ANR event
2026-07-01 07:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
2026-07-01 08:00:00,XYZ403,PCI_CONFLICT,ANR event
2026-07-01 09:00:00,XYZ401,MISSING_NEIGHBOR,ANR event
