ue_id,cell_id,rsrp,rsrq,sinr,failure_type
UE10000,XYZ401,-109.0,-11.5,1.0,SUCCESS
UE10001,XYZ402,-110.6,-13.5,2.1,SUCCESS
UE10002,XYZ403,-110.7,-14.2,-0.1,SUCCESS
UE10003,XYZ404,-106.4,-13.3,2.2,SUCCESS
UE10004,XYZ405,-103.6,-12.9,-2.5,SUCCESS
UE10005,XYZ406,-104.7,-12.4,-1.6,SUCCESS
UE10006,XYZ407,-108.9,-11.5,7.8,SUCCESS
UE10007,XYZ408,-102.3,-10.4,17.1,SUCCESS
UE10008,XYZ409,-89.2,-7.5,13.7,SUCCESS
UE10009,XYZ410,-85.6,-8.4,24.1,SUCCESS
UE10010,XYZ401,-115.0,-16.3,-18.7,SUCCESS
UE10011,XYZ402,-109.6,-9.4,6.8,TOO_LATE_HO
UE10012,XYZ403,-120.0,-13.1,-4.6,PING_PONG
UE10013,XYZ404,-107.0,-10.3,7.3,SUCCESS
UE10014,XYZ405,-101.9,-8.7,2.8,SUCCESS
UE10015,XYZ406,-103.3,-10.5,9.3,SUCCESS
UE10016,XYZ407,-105.9,-11.2,6.0,SUCCESS
UE10017,XYZ408,-104.3,-10.7,9.0,SUCCESS
UE10018,XYZ409,-85.2,-8.2,11.3,N2_FAILURE
UE10019,XYZ410,-85.7,-8.7,22.0,SUCCESS
UE10020,XYZ401,-109.4,-12.2,-6.8,SUCCESS
UE10021,XYZ402,-123.2,-13.8,-0.7,SUCCESS
UE10022,XYZ403,-111.3,-13.8,-3.8,SUCCESS
UE10023,XYZ404,-116.8,-15.6,-9.3,SUCCESS
UE10024,XYZ405,-109.5,-10.3,7.6,SUCCESS
UE10025,XYZ406,-99.3,-10.2,14.3,TOO_LATE_HO
UE10026,XYZ407,-104.2,-13.3,10.6,SUCCESS
UE10027,XYZ408,-97.0,-10.4,8.6,SUCCESS
UE10028,XYZ409,-96.0,-12.2,14.8,SUCCESS
UE10029,XYZ410,-88.3,-8.3,23.8,SUCCESS
UE10030,XYZ401,-117.7,-12.0,-6.6,SUCCESS
UE10031,XYZ402,-114.7,-13.8,-3.4,SUCCESS
UE10032,XYZ403,-111.2,-13.1,-0.4,SUCCESS
UE10033,XYZ404,-109.3,-14.2,-6.2,SUCCESS
UE10034,XYZ405,-105.0,-11.6,6.1,SUCCESS
UE10035,XYZ406,-109.0,-9.5,14.0,SUCCESS
UE10036,XYZ407,-104.2,-11.7,14.4,SUCCESS
UE10037,XYZ408,-102.3,-11.8,8.3,SUCCESS
UE10038,XYZ409,-98.2,-9.1,18.3,SUCCESS
UE10039,XYZ410,-90.5,-10.3,16.3,SUCCESS
UE10040,XYZ401,-114.9,-11.8,16.0,SUCCESS
UE10041,XYZ402,-122.1,-12.5,3.3,XN_FAILURE
UE10042,XYZ403,-107.3,-13.4,-9.4,SUCCESS
UE10043,XYZ404,-100.5,-13.3,1.1,SUCCESS
UE10044,XYZ405,-112.4,-12.1,5.5,SUCCESS
UE10045,XYZ406,-102.5,-10.5,6.7,SUCCESS
UE10046,XYZ407,-106.8,-10.3,11.0,SUCCESS
UE10047,XYZ408,-107.5,-9.3,7.4,SUCCESS
UE10048,XYZ409,-94.8,-8.3,16.7,SUCCESS
UE10049,XYZ410,-88.0,-7.9,21.8,SUCCESS
UE10050,XYZ401,-117.1,-10.9,2.9,SUCCESS
UE10051,XYZ402,-117.5,-12.7,4.5,SUCCESS
UE10052,XYZ403,-113.3,-13.2,-3.3,PING_PONG
UE10053,XYZ404,-103.7,-9.1,9.6,SUCCESS
UE10054,XYZ405,-107.9,-11.2,1.2,SUCCESS
UE10055,XYZ406,-100.9,-10.7,3.2,SUCCESS
UE10056,XYZ407,-109.3,-9.7,9.1,SUCCESS
UE10057,XYZ408,-100.2,-11.2,11.4,SUCCESS
UE10058,XYZ409,-90.7,-9.1,20.5,SUCCESS
UE10059,XYZ410,-90.3,-8.2,19.2,SUCCESS
UE10060,XYZ401,-109.2,-13.5,-11.6,SUCCESS
UE10061,XYZ402,-108.5,-12.7,4.4,SUCCESS
UE10062,XYZ403,-117.4,-11.2,-3.2,SUCCESS
UE10063,XYZ404,-117.7,-10.5,2.4,SUCCESS
UE10064,XYZ405,-105.4,-8.9,7.7,SUCCESS
UE10065,XYZ406,-102.4,-12.3,9.6,SUCCESS
UE10066,XYZ407,-105.7,-9.8,13.4,SUCCESS
UE10067,XYZ408,-107.1,-11.8,11.3,SUCCESS
UE10068,XYZ409,-89.4,-11.2,12.4,SUCCESS
UE10069,XYZ410,-87.3,-8.3,14.8,TOO_EARLY_HO
UE10070,XYZ401,-116.6,-12.2,-6.3,TOO_LATE_HO
UE10071,XYZ402,-113.7,-13.3,-7.3,SUCCESS
UE10072,XYZ403,-118.6,-14.2,-4.9,SUCCESS
UE10073,XYZ404,-116.4,-10.3,3.2,SUCCESS
UE10074,XYZ405,-108.7,-11.2,7.1,SUCCESS
UE10075,XYZ406,-105.7,-10.6,9.2,SUCCESS
UE10076,XYZ407,-105.9,-12.3,5.6,XN_FAILURE
UE10077,XYZ408,-106.2,-10.3,13.8,SUCCESS
UE10078,XYZ409,-93.1,-9.2,18.2,SUCCESS
UE10079,XYZ410,-87.8,-8.8,19.2,SUCCESS
UE10080,XYZ401,-113.2,-13.9,-4.3,SUCCESS
UE10081,XYZ402,-111.6,-13.9,-3.7,SUCCESS
UE10082,XYZ403,-117.8,-11.9,5.0,SUCCESS
UE10083,XYZ404,-114.7,-11.6,-1.8,SUCCESS
UE10084,XYZ405,-105.1,-8.6,8.0,SUCCESS
UE10085,XYZ406,-108.1,-11.5,4.2,SUCCESS
UE10086,XYZ407,-105.4,-11.9,5.0,SUCCESS
UE10087,XYZ408,-104.0,-8.9,8.3,SUCCESS
UE10088,XYZ409,-95.2,-10.7,15.8,SUCCESS
UE10089,XYZ410,-88.7,-9.9,22.6,SUCCESS
UE10090,XYZ401,-116.9,-13.2,-2.7,SUCCESS
UE10091,XYZ402,-118.0,-12.4,-5.7,SUCCESS
UE10092,XYZ403,-122.0,-12.0,-1.9,SUCCESS
UE10093,XYZ404,-114.5,-14.3,-3.1,SUCCESS
UE10094,XYZ405,-108.1,-9.3,4.3,SUCCESS
UE10095,XYZ406,-106.7,-12.0,6.4,PREP_FAILURE
UE10096,XYZ407,-105.1,-11.7,4.9,SUCCESS
UE10097,XYZ408,-103.6,-10.0,9.8,SUCCESS
UE10098,XYZ409,-92.9,-8.7,16.0,SUCCESS
UE10099,XYZ410,-86.3,-6.1,23.7,SUCCESS
UE10100,XYZ401,-122.5,-12.8,4.3,PING_PONG
UE10101,XYZ402,-113.4,-13.3,0.2,SUCCESS
UE10102,XYZ403,-116.9,-13.5,4.4,SUCCESS
UE10103,XYZ404,-108.6,-16.4,-3.7,SUCCESS
UE10104,XYZ405,-105.0,-12.2,-6.7,SUCCESS
UE10105,XYZ406,-106.7,-11.6,6.7,SUCCESS
UE10106,XYZ407,-99.9,-12.6,2.9,SUCCESS
UE10107,XYZ408,-98.9,-10.7,4.6,SUCCESS
UE10108,XYZ409,-88.8,-9.2,14.3,SUCCESS
UE10109,XYZ410,-85.9,-7.1,18.0,SUCCESS
UE10110,XYZ401,-113.5,-11.4,1.5,SUCCESS
UE10111,XYZ402,-111.2,-12.5,-1.2,TOO_LATE_HO
UE10112,XYZ403,-109.4,-11.0,-0.4,TOO_LATE_HO
UE10113,XYZ404,-110.7,-13.6,-9.2,SUCCESS
UE10114,XYZ405,-107.1,-12.1,6.3,SUCCESS
UE10115,XYZ406,-112.4,-10.0,-1.3,SUCCESS
UE10116,XYZ407,-103.3,-14.0,1.1,SUCCESS
UE10117,XYZ408,-101.5,-10.9,15.4,SUCCESS
UE10118,XYZ409,-89.6,-8.9,12.2,SUCCESS
UE10119,XYZ410,-89.4,-8.5,23.0,SUCCESS
UE10120,XYZ401,-121.7,-12.8,4.7,PING_PONG
UE10121,XYZ402,-115.9,-12.2,3.0,SUCCESS
UE10122,XYZ403,-124.1,-11.9,4.4,SUCCESS
UE10123,XYZ404,-118.2,-13.0,-0.6,SUCCESS
UE10124,XYZ405,-108.0,-11.8,3.9,SUCCESS
UE10125,XYZ406,-105.3,-10.4,4.4,SUCCESS
UE10126,XYZ407,-106.4,-10.7,7.4,SUCCESS
UE10127,XYZ408,-108.5,-11.4,14.5,SUCCESS
UE10128,XYZ409,-94.1,-8.0,13.5,SUCCESS
UE10129,XYZ410,-84.7,-8.8,22.1,SUCCESS
UE10130,XYZ401,-129.8,-10.3,16.9,SUCCESS
UE10131,XYZ402,-119.0,-12.9,12.6,SUCCESS
UE10132,XYZ403,-111.8,-13.1,5.3,SUCCESS
UE10133,XYZ404,-111.0,-11.0,9.7,SUCCESS
UE10134,XYZ405,-108.2,-14.1,4.9,SUCCESS
UE10135,XYZ406,-109.7,-12.3,2.2,SUCCESS
UE10136,XYZ407,-112.3,-10.0,10.8,SUCCESS
UE10137,XYZ408,-99.6,-9.6,12.5,SUCCESS
UE10138,XYZ409,-90.9,-8.6,16.7,SUCCESS
UE10139,XYZ410,-89.5,-9.1,16.7,SUCCESS
UE10140,XYZ401,-110.2,-12.2,8.4,SUCCESS
UE10141,XYZ402,-127.1,-11.6,1.4,SUCCESS
UE10142,XYZ403,-116.9,-11.7,6.1,SUCCESS
UE10143,XYZ404,-114.6,-12.5,6.3,SUCCESS
UE10144,XYZ405,-105.4,-11.7,4.4,SUCCESS
UE10145,XYZ406,-102.4,-11.2,6.0,SUCCESS
UE10146,XYZ407,-102.9,-11.9,8.0,SUCCESS
UE10147,XYZ408,-101.2,-10.4,3.1,TOO_LATE_HO
