ue_id,cell_id,msg_failure
UE10587,XYZ408,MSG2
UE10734,XYZ402,MSG1
UE10688,XYZ402,SUCCESS
UE10456,XYZ402,SUCCESS
UE10700,XYZ403,MSG1
UE10978,XYZ406,SUCCESS
UE10301,XYZ401,SUCCESS
UE10045,XYZ402,MSG2
UE10893,XYZ410,MSG3
UE10016,XYZ402,SUCCESS
UE10577,XYZ401,MSG4
UE10359,XYZ403,MSG3
UE10260,XYZ410,MSG3
UE10122,XYZ407,MSG4
UE10230,XYZ401,MSG1
UE10949,XYZ407,MSG2
UE10636,XYZ405,SUCCESS
UE10111,XYZ409,MSG1
UE10783,XYZ402,MSG4
UE10592,XYZ401,MSG2
UE10245,XYZ409,MSG2
UE10858,XYZ408,MSG2
UE10390,XYZ410,MSG4
UE10391,XYZ406,MSG1
UE10327,XYZ405,SUCCESS
UE10214,XYZ408,MSG2
UE10863,XYZ408,MSG2
UE10746,XYZ405,MSG1
UE10366,XYZ407,MSG2
UE10081,XYZ401,MSG2
UE10805,XYZ404,MSG4
UE10821,XYZ402,MSG3
UE10075,XYZ410,MSG1
UE10526,XYZ403,MSG1
UE10731,XYZ401,MSG1
UE10502,XYZ402,MSG4
UE10741,XYZ401,MSG4
UE10945,XYZ408,SUCCESS
UE10951,XYZ404,MSG4
UE10478,XYZ403,MSG1
UE10371,XYZ401,SUCCESS
UE10264,XYZ402,MSG3
UE10263,XYZ403,MSG2
UE10109,XYZ403,MSG2
UE10914,XYZ406,SUCCESS
UE10306,XYZ410,MSG3
UE10199,XYZ408,MSG2
UE10225,XYZ406,SUCCESS
UE10184,XYZ402,MSG4
UE10963,XYZ402,MSG1
UE10030,XYZ407,MSG3
UE10613,XYZ401,MSG2
UE10770,XYZ401,MSG1
UE10098,XYZ407,SUCCESS
UE10338,XYZ409,MSG2
UE10810,XYZ405,MSG1
UE10796,XYZ401,MSG4
UE10265,XYZ405,MSG3
UE10651,XYZ401,SUCCESS
UE10813,XYZ410,MSG2
UE10797,XYZ409,MSG4
UE10349,XYZ404,MSG3
UE10977,XYZ409,MSG3
UE10727,XYZ402,MSG4
UE10543,XYZ407,MSG2
UE10456,XYZ402,MSG3
UE10814,XYZ404,SUCCESS
UE10087,XYZ406,MSG1
UE10062,XYZ402,SUCCESS
UE10921,XYZ402,MSG3
UE10386,XYZ402,MSG1
UE10790,XYZ403,MSG4
UE10458,XYZ405,MSG1
UE10585,XYZ409,MSG1
UE10817,XYZ406,MSG1
UE10931,XYZ409,MSG3
UE10635,XYZ410,MSG2
UE10268,XYZ405,MSG3
UE10893,XYZ406,MSG2
UE10796,XYZ410,MSG4
UE10933,XYZ408,MSG4
UE10972,XYZ403,MSG4
UE10632,XYZ402,MSG4
UE10345,XYZ403,MSG4
UE10723,XYZ409,SUCCESS
UE10900,XYZ406,MSG3
UE10659,XYZ410,MSG2
UE10077,XYZ404,MSG4
UE10364,XYZ410,SUCCESS
UE10013,XYZ403,SUCCESS
UE10135,XYZ402,SUCCESS
UE10303,XYZ404,MSG3
UE10396,XYZ409,MSG4
UE10791,XYZ404,SUCCESS
UE10078,XYZ405,SUCCESS
UE10754,XYZ408,MSG4
UE10704,XYZ402,MSG3
UE10981,XYZ403,SUCCESS
UE10417,XYZ406,MSG2
UE10241,XYZ407,MSG1
UE10050,XYZ404,MSG1
UE10743,XYZ401,MSG1
UE10770,XYZ407,MSG3
UE10383,XYZ409,SUCCESS
UE10374,XYZ401,MSG1
UE10729,XYZ401,MSG1
UE10205,XYZ401,MSG4
UE10825,XYZ410,SUCCESS
UE10488,XYZ407,SUCCESS
UE10380,XYZ409,MSG4
UE10967,XYZ403,SUCCESS
UE10880,XYZ408,MSG2
UE10310,XYZ409,MSG3
UE10374,XYZ403,MSG4
UE10631,XYZ403,MSG1
UE10591,XYZ401,SUCCESS
UE10041,XYZ402,MSG2
UE10532,XYZ407,MSG2
UE10521,XYZ403,MSG3
UE10824,XYZ407,MSG2
UE10152,XYZ405,SUCCESS
UE10311,XYZ410,SUCCESS
UE10293,XYZ408,MSG2
UE10597,XYZ405,SUCCESS
UE10112,XYZ403,SUCCESS
UE10700,XYZ409,MSG1
UE10111,XYZ407,MSG4
UE10174,XYZ405,SUCCESS
UE10821,XYZ407,SUCCESS
UE10301,XYZ410,MSG3
UE10963,XYZ409,MSG4
UE10515,XYZ405,MSG4
UE10733,XYZ407,MSG4
UE10961,XYZ409,MSG2
UE10220,XYZ401,MSG1
UE10170,XYZ404,MSG1
UE10317,XYZ401,MSG3
UE10995,XYZ408,MSG4
UE10212,XYZ403,MSG4
UE10252,XYZ402,SUCCESS
UE10123,XYZ404,MSG2
UE10639,XYZ403,MSG2
