timestamp,cell_id,ue_id,issue_domain,event_type,result,cause,rsrp,sinr,cqi,target_cell,source_cell,dl_tp,prb_util,severity,alarm_name,module,event_code,message,details,beam_id,beam_health_score,beam_switch_rate
,XYZ401,UE10618,handover,WRONG_CELL,FAIL,,-118,22,,,XYZ401,,,,,,,,,,,
,XYZ407,UE10762,handover,WRONG_CELL,FAIL,,-123,15,,,XYZ407,,,,,,,,,,,
,XYZ405,UE10935,handover,SUCCESS,SUCCESS,,-101,6,,,XYZ405,,,,,,,,,,,
,XYZ401,UE10220,handover,WRONG_CELL,FAIL,,-121,-4,,,XYZ401,,,,,,,,,,,
,XYZ404,UE10378,handover,SUCCESS,SUCCESS,,-86,-3,,,XYZ404,,,,,,,,,,,
,XYZ404,UE10221,handover,SUCCESS,SUCCESS,,-107,20,,,XYZ404,,,,,,,,,,,
,XYZ410,UE10257,handover,SUCCESS,SUCCESS,,-108,1,,,XYZ410,,,,,,,,,,,
,XYZ407,UE10712,handover,TOO_EARLY_HO,FAIL,,-76,20,,,XYZ407,,,,,,,,,,,
,XYZ409,UE10366,handover,SUCCESS,SUCCESS,,-95,8,,,XYZ409,,,,,,,,,,,
,XYZ402,UE10769,handover,SUCCESS,SUCCESS,,-93,-1,,,XYZ402,,,,,,,,,,,
,XYZ401,UE10348,handover,SUCCESS,SUCCESS,,-79,1,,,XYZ401,,,,,,,,,,,
,XYZ402,UE10224,handover,SUCCESS,SUCCESS,,-108,9,,,XYZ402,,,,,,,,,,,
,XYZ407,UE10713,handover,SUCCESS,SUCCESS,,-87,-4,,,XYZ407,,,,,,,,,,,
,XYZ410,UE10737,handover,SUCCESS,SUCCESS,,-110,3,,,XYZ410,,,,,,,,,,,
,XYZ406,UE10235,handover,TOO_LATE_HO,FAIL,,-110,0,,,XYZ406,,,,,,,,,,,
,XYZ404,UE10182,handover,PREP_FAILURE,FAIL,,-79,-4,,,XYZ404,,,,,,,,,,,
,XYZ401,UE10711,handover,PING_PONG,FAIL,,-88,18,,,XYZ401,,,,,,,,,,,
,XYZ401,UE10868,handover,SUCCESS,SUCCESS,,-85,-1,,,XYZ401,,,,,,,,,,,
,XYZ405,UE10757,handover,PING_PONG,FAIL,,-119,18,,,XYZ405,,,,,,,,,,,
,XYZ401,UE10443,handover,PREP_FAILURE,FAIL,,-112,-2,,,XYZ401,,,,,,,,,,,
,XYZ407,UE10864,handover,PREP_FAILURE,FAIL,,-83,-1,,,XYZ407,,,,,,,,,,,
,XYZ401,UE10622,handover,SUCCESS,SUCCESS,,-78,8,,,XYZ401,,,,,,,,,,,
,XYZ401,UE10005,handover,SUCCESS,SUCCESS,,-101,20,,,XYZ401,,,,,,,,,,,
,XYZ402,UE10235,handover,TOO_LATE_HO,FAIL,,-94,6,,,XYZ402,,,,,,,,,,,
,XYZ410,UE10126,handover,SUCCESS,SUCCESS,,-88,-2,,,XYZ410,,,,,,,,,,,
,XYZ403,UE10103,handover,SUCCESS,SUCCESS,,-104,22,,,XYZ403,,,,,,,,,,,
,XYZ401,UE10748,handover,PING_PONG,FAIL,,-110,23,,,XYZ401,,,,,,,,,,,
,XYZ409,UE10914,handover,SUCCESS,SUCCESS,,-97,13,,,XYZ409,,,,,,,,,,,
,XYZ410,UE10479,handover,SUCCESS,SUCCESS,,-110,-2,,,XYZ410,,,,,,,,,,,
,XYZ408,UE10154,handover,SUCCESS,SUCCESS,,-114,-4,,,XYZ408,,,,,,,,,,,
,XYZ405,UE10256,handover,PING_PONG,FAIL,,-109,5,,,XYZ405,,,,,,,,,,,
,XYZ402,UE10234,handover,SUCCESS,SUCCESS,,-89,8,,,XYZ402,,,,,,,,,,,
,XYZ405,UE10499,handover,SUCCESS,SUCCESS,,-99,-5,,,XYZ405,,,,,,,,,,,
,XYZ406,UE10288,handover,SUCCESS,SUCCESS,,-101,0,,,XYZ406,,,,,,,,,,,
,XYZ401,UE10509,handover,SUCCESS,SUCCESS,,-113,1,,,XYZ401,,,,,,,,,,,
,XYZ404,UE10551,handover,WRONG_CELL,FAIL,,-118,2,,,XYZ404,,,,,,,,,,,
,XYZ409,UE10799,handover,PING_PONG,FAIL,,-121,1,,,XYZ409,,,,,,,,,,,
,XYZ402,UE10708,handover,PING_PONG,FAIL,,-114,10,,,XYZ402,,,,,,,,,,,
