ue_id,cell_id,rsrp,rsrq,sinr,drop_type
UE12000,XYZ401,-113.4,-15.8,-7.2,Mobility
UE12001,XYZ402,-120.2,-14.5,-9.2,Mobility
UE12002,XYZ403,-107.4,-12.4,1.3,None
UE12003,XYZ404,-113.0,-13.4,-2.8,None
UE12004,XYZ405,-109.6,-14.5,-3.3,None
UE12005,XYZ406,-102.3,-12.0,-2.3,None
UE12006,XYZ407,-106.4,-12.9,2.8,None
UE12007,XYZ408,-101.9,-11.3,9.5,None
UE12008,XYZ409,-89.1,-10.7,13.1,None
UE12009,XYZ410,-87.5,-7.2,16.8,None
UE12010,XYZ401,-134.6,-16.3,-14.8,Mobility
UE12011,XYZ402,-122.6,-15.2,0.5,None
UE12012,XYZ403,-113.5,-12.6,6.8,Transport
UE12013,XYZ404,-116.9,-11.1,4.2,Core
UE12014,XYZ405,-107.9,-11.8,5.2,None
UE12015,XYZ406,-108.5,-14.3,-3.6,None
UE12016,XYZ407,-105.5,-11.0,7.1,None
UE12017,XYZ408,-105.8,-10.4,5.5,None
UE12018,XYZ409,-95.8,-8.0,19.6,None
UE12019,XYZ410,-90.9,-9.3,19.5,None
UE12020,XYZ401,-119.2,-12.3,1.9,Transport
UE12021,XYZ402,-114.6,-12.7,-4.4,Transport
UE12022,XYZ403,-114.5,-13.1,-2.3,None
UE12023,XYZ404,-108.0,-13.0,-2.2,Core
UE12024,XYZ405,-97.5,-11.6,-3.1,None
UE12025,XYZ406,-109.1,-13.6,0.5,None
UE12026,XYZ407,-100.7,-12.1,5.5,None
UE12027,XYZ408,-99.3,-10.5,10.6,Radio
UE12028,XYZ409,-94.3,-9.9,12.7,None
UE12029,XYZ410,-88.4,-8.3,20.1,None
UE12030,XYZ401,-118.8,-14.4,-14.7,Radio
UE12031,XYZ402,-113.1,-15.2,-9.1,None
UE12032,XYZ403,-118.0,-14.0,-5.0,None
UE12033,XYZ404,-110.0,-10.6,1.7,None
UE12034,XYZ405,-105.4,-11.4,8.0,Transport
UE12035,XYZ406,-102.8,-12.7,6.9,None
UE12036,XYZ407,-101.4,-12.0,10.8,None
UE12037,XYZ408,-104.2,-10.6,3.9,None
UE12038,XYZ409,-88.8,-8.1,15.5,None
UE12039,XYZ410,-89.9,-7.8,20.1,None
UE12040,XYZ401,-112.2,-13.1,1.3,Radio
UE12041,XYZ402,-108.9,-11.1,2.4,Mobility
