timestamp,ue_id,latitude,longitude,site_id,cell_id,sector,pci,distance_miles,serving_ssb,neighbor_ssb,beam_id,beam_azimuth_deg,beam_width_deg,beam_electrical_tilt_deg,beam_mechanical_tilt_deg,beam_switch_count,beam_switch_rate_per_min,rsrp_dbm,rsrq_db,sinr_db,cqi,mcs_dl,mcs_ul,bler_dl_pct,bler_ul_pct,dl_tp_mbps,ul_tp_mbps,latency_ms,prb_dl_pct,prb_ul_pct,ho_status,coverage_status,beam_health_score
2026-07-01 00:00:00,UE00000,32.96037961495144,-96.99486340817691,SITE01,XYZ401,A,100,1.836,SSB_1,SSB_2,1,0,30,6,2,23,4.6,-99,-10,11,9,19,17,6.31,5.05,349,59,114,43,17,PREP_FAILURE,Coverage_Hole,64
2026-07-01 01:00:00,UE00001,32.95623842771268,-97.02952715759021,SITE01,XYZ402,A,101,2.955,SSB_2,SSB_3,2,60,30,6,2,24,4.8,-119,-10,-4,2,12,10,13.37,10.7,82,16,105,78,56,EXEC_FAILURE,Fair,5
2026-07-01 02:00:00,UE00002,32.96177609473641,-96.98857115209083,SITE01,XYZ403,B,102,1.855,SSB_3,SSB_4,3,120,30,6,2,24,4.8,-98,-10,6,6,16,14,10.36,8.29,264,38,128,28,67,PREP_FAILURE,Poor,41
2026-07-01 03:00:00,UE00003,32.926346228172925,-97.00843124463655,SITE01,XYZ401,B,100,1.473,SSB_4,SSB_5,4,180,30,6,2,3,0.6,-93,-10,10,8,18,16,7.35,5.88,344,55,20,73,18,PREP_FAILURE,Coverage_Hole,58
2026-07-01 04:00:00,UE00004,32.941769275516045,-97.03557701648771,SITE01,XYZ402,A,101,2.954,SSB_5,SSB_6,5,240,30,6,2,20,4.0,-114,-10,-2,3,13,11,12.18,9.74,118,19,96,72,38,PREP_FAILURE,Excellent,13
2026-07-01 05:00:00,UE00005,32.91281610967664,-96.99247980405792,SITE01,XYZ403,C,102,1.59,SSB_6,SSB_1,6,300,30,6,2,7,1.4,-97,-10,7,7,17,15,8.15,6.52,376,62,25,27,49,EXEC_FAILURE,Excellent,48
2026-07-01 06:00:00,UE00006,32.96531739517448,-97.00321508928326,SITE01,XYZ401,B,100,2.335,SSB_1,SSB_2,1,0,30,6,2,22,4.4,-106,-10,3,5,15,13,11.7,9.36,220,33,102,56,58,PREP_FAILURE,Fair,30
2026-07-01 07:00:00,UE00007,32.91088656334055,-96.95915970319615,SITE01,XYZ402,B,101,2.247,SSB_2,SSB_3,2,60,30,6,2,25,5.0,-111,-10,5,6,16,14,9.51,7.61,220,52,91,70,77,EXEC_FAILURE,Excellent,39
2026-07-01 08:00:00,UE00008,32.91069490641537,-96.98676519324114,SITE01,XYZ403,C,102,1.682,SSB_3,SSB_4,3,120,30,6,2,31,6.2,-101,-10,9,8,18,16,7.82,6.26,396,57,73,47,80,PREP_FAILURE,Coverage_Hole,55
2026-07-01 09:00:00,UE00009,32.95367097310067,-96.96786913949978,SITE01,XYZ401,A,100,1.631,SSB_4,SSB_5,4,180,30,6,2,27,5.4,-105,-10,7,7,17,15,8.83,7.06,363,52,117,81,15,SUCCESS,Fair,47
2026-07-01 10:00:00,UE00010,32.94681342242532,-97.01601269120236,SITE01,XYZ402,C,101,1.961,SSB_5,SSB_6,5,240,30,6,2,14,2.8,-114,-10,6,6,16,14,9.44,7.55,228,44,46,71,76,SUCCESS,Good,42
2026-07-01 11:00:00,UE00011,32.93455907254406,-96.93438324478133,SITE01,XYZ403,B,102,2.943,SSB_6,SSB_1,6,300,30,6,2,1,0.2,-124,-10,-2,3,13,11,12.57,10.06,109,25,101,20,33,PREP_FAILURE,Good,13
2026-07-01 12:00:00,UE00012,32.90504601222711,-96.97303849841131,SITE01,XYZ401,A,100,2.186,SSB_1,SSB_2,1,0,30,6,2,23,4.6,-98,-10,7,7,17,15,8.16,6.53,298,50,112,89,25,EXEC_FAILURE,Excellent,48
2026-07-01 13:00:00,UE00013,32.91817982991078,-96.98623740826172,SITE01,XYZ402,C,101,1.165,SSB_2,SSB_3,2,60,30,6,2,18,3.6,-90,-10,13,9,19,17,6.65,5.32,359,78,66,52,54,EXEC_FAILURE,Good,68
2026-07-01 14:00:00,UE00014,32.917124480946924,-97.02754112223295,SITE01,XYZ403,B,102,2.746,SSB_3,SSB_4,3,120,30,6,2,15,3.0,-117,-10,1,4,14,12,12.08,9.66,194,28,126,79,16,SUCCESS,Poor,23
2026-07-01 15:00:00,UE00015,32.959083499043814,-97.01122778498296,SITE01,XYZ401,C,100,2.242,SSB_4,SSB_5,4,180,30,6,2,32,6.4,-110,-10,0,4,14,12,12.4,9.92,204,36,127,91,50,PREP_FAILURE,Poor,20
2026-07-01 16:00:00,UE00016,32.91201248099194,-96.95681566802901,SITE01,XYZ402,A,101,2.286,SSB_5,SSB_6,5,240,30,6,2,32,6.4,-112,-10,0,4,14,12,11.97,9.58,176,38,28,40,62,EXEC_FAILURE,Fair,21
2026-07-01 17:00:00,UE00017,32.90297662302907,-97.00268361022574,SITE01,XYZ403,C,102,2.433,SSB_6,SSB_1,6,300,30,6,2,7,1.4,-111,-10,0,4,14,12,11.53,9.22,161,38,41,40,44,SUCCESS,Poor,21
2026-07-01 18:00:00,UE00018,32.95841307562227,-97.017129522723,SITE01,XYZ401,B,100,2.454,SSB_1,SSB_2,1,0,30,6,2,27,5.4,-110,-10,-3,3,13,11,13.14,10.51,149,19,107,65,20,EXEC_FAILURE,Poor,10
2026-07-01 19:00:00,UE00019,32.93990310614499,-96.98800547436137,SITE01,XYZ402,C,101,0.373,SSB_2,SSB_3,2,60,30,6,2,20,4.0,-81,-10,18,12,22,20,4.93,3.94,616,88,47,86,32,SUCCESS,Good,89
2026-07-01 20:00:00,UE00020,32.92104328790031,-97.03247027263218,SITE01,XYZ403,B,102,2.903,SSB_3,SSB_4,3,120,30,6,2,26,5.2,-120,-10,-1,3,13,11,13.23,10.58,161,20,16,36,47,SUCCESS,Fair,15
2026-07-01 21:00:00,UE00021,32.90042697754924,-96.99941312450679,SITE01,XYZ401,A,100,2.526,SSB_4,SSB_5,4,180,30,6,2,6,1.2,-114,-10,-4,2,12,10,13.51,10.81,94,13,50,64,34,SUCCESS,Poor,5
2026-07-01 22:00:00,UE00022,32.97536121807113,-96.97678012004245,SITE01,XYZ402,B,101,2.825,SSB_5,SSB_6,5,240,30,6,2,21,4.2,-121,-10,4,6,16,14,10.34,8.27,251,41,72,68,66,PREP_FAILURE,Fair,36
2026-07-01 23:00:00,UE00023,32.91968977091565,-96.9877741879151,SITE01,XYZ403,C,102,1.069,SSB_6,SSB_1,6,300,30,6,2,29,5.8,-95,-10,15,10,20,18,6.25,5.0,375,65,113,74,54,SUCCESS,Good,76
2026-07-01 00:00:00,UE00024,32.921212225164645,-96.95182156769468,SITE01,XYZ401,C,100,2.156,SSB_1,SSB_2,1,0,30,6,2,22,4.4,-109,-10,6,6,16,14,9.88,7.9,224,38,23,31,15,PREP_FAILURE,Good,42
2026-07-01 01:00:00,UE00025,32.935010479170074,-96.96471236907324,SITE01,XYZ402,B,101,1.187,SSB_2,SSB_3,2,60,30,6,2,4,0.8,-86,-10,13,9,19,17,7.32,5.86,369,85,107,86,40,EXEC_FAILURE,Coverage_Hole,68
2026-07-01 02:00:00,UE00026,32.9268112112753,-96.97015437876853,SITE01,XYZ403,B,102,1.04,SSB_3,SSB_4,3,120,30,6,2,9,1.8,-89,-10,15,10,20,18,5.69,4.55,443,84,83,53,66,EXEC_FAILURE,Good,76
2026-07-01 03:00:00,UE00027,32.90064718103181,-96.98600937583072,SITE01,XYZ401,C,100,2.373,SSB_4,SSB_5,4,180,30,6,2,27,5.4,-108,-10,4,6,16,14,9.33,7.46,223,50,98,43,26,PREP_FAILURE,Fair,37
