ue_id,cell_id,rsrp,sinr,failure_type
UE10618,XYZ401,-118,22,WRONG_CELL
UE10762,XYZ407,-123,15,WRONG_CELL
UE10935,XYZ405,-101,6,SUCCESS
UE10220,XYZ401,-121,-4,WRONG_CELL
UE10378,XYZ404,-86,-3,SUCCESS
UE10221,XYZ404,-107,20,SUCCESS
UE10257,XYZ410,-108,1,SUCCESS
UE10712,XYZ407,-76,20,TOO_EARLY_HO
UE10366,XYZ409,-95,8,SUCCESS
UE10769,XYZ402,-93,-1,SUCCESS
UE10348,XYZ401,-79,1,SUCCESS
UE10224,XYZ402,-108,9,SUCCESS
UE10713,XYZ407,-87,-4,SUCCESS
UE10737,XYZ410,-110,3,SUCCESS
UE10235,XYZ406,-110,0,TOO_LATE_HO
UE10182,XYZ404,-79,-4,PREP_FAILURE
UE10711,XYZ401,-88,18,PING_PONG
UE10868,XYZ401,-85,-1,SUCCESS
UE10757,XYZ405,-119,18,PING_PONG
UE10443,XYZ401,-112,-2,PREP_FAILURE
UE10864,XYZ407,-83,-1,PREP_FAILURE
UE10622,XYZ401,-78,8,SUCCESS
UE10005,XYZ401,-101,20,SUCCESS
UE10235,XYZ402,-94,6,TOO_LATE_HO
UE10126,XYZ410,-88,-2,SUCCESS
UE10103,XYZ403,-104,22,SUCCESS
UE10748,XYZ401,-110,23,PING_PONG
UE10914,XYZ409,-97,13,SUCCESS
UE10479,XYZ410,-110,-2,SUCCESS
UE10154,XYZ408,-114,-4,SUCCESS
UE10256,XYZ405,-109,5,PING_PONG
UE10234,XYZ402,-89,8,SUCCESS
UE10499,XYZ405,-99,-5,SUCCESS
UE10288,XYZ406,-101,0,SUCCESS
UE10509,XYZ401,-113,1,SUCCESS
UE10551,XYZ404,-118,2,WRONG_CELL
UE10799,XYZ409,-121,1,PING_PONG
UE10708,XYZ402,-114,10,PING_PONG
UE10784,XYZ405,-85,-1,SUCCESS
UE10893,XYZ401,-123,9,WRONG_CELL
UE10775,XYZ404,-91,17,TOO_EARLY_HO
UE10568,XYZ404,-93,13,TOO_EARLY_HO
UE10297,XYZ406,-104,-6,SUCCESS
UE10609,XYZ410,-76,1,PING_PONG
UE10136,XYZ409,-82,24,PREP_FAILURE
UE10375,XYZ403,-117,-9,WRONG_CELL
UE10086,XYZ409,-85,-2,SUCCESS
UE10418,XYZ406,-108,11,SUCCESS
UE10753,XYZ407,-76,-6,SUCCESS
UE10198,XYZ410,-97,1,SUCCESS
UE10462,XYZ402,-87,-10,XN_FAILURE
UE10436,XYZ410,-99,11,PING_PONG
UE10309,XYZ406,-90,8,SUCCESS
UE10595,XYZ406,-81,5,XN_FAILURE
UE10753,XYZ402,-109,20,SUCCESS
UE10280,XYZ402,-92,-8,SUCCESS
UE10322,XYZ402,-80,12,SUCCESS
UE10763,XYZ410,-123,7,WRONG_CELL
UE10701,XYZ401,-121,15,PING_PONG
UE10950,XYZ405,-112,2,SUCCESS
UE10941,XYZ408,-123,7,WRONG_CELL
UE10151,XYZ402,-103,-8,SUCCESS
UE10993,XYZ405,-87,12,SUCCESS
UE10301,XYZ408,-96,-8,SUCCESS
UE10277,XYZ410,-76,14,TOO_EARLY_HO
UE10650,XYZ405,-81,16,TOO_EARLY_HO
UE10687,XYZ402,-103,16,SUCCESS
UE10007,XYZ403,-99,14,SUCCESS
UE10806,XYZ406,-116,13,WRONG_CELL
UE10234,XYZ405,-101,-3,SUCCESS
UE10674,XYZ404,-113,-2,SUCCESS
UE10560,XYZ404,-110,19,PING_PONG
UE10301,XYZ405,-85,8,SUCCESS
UE10037,XYZ402,-92,5,SUCCESS
UE10135,XYZ409,-89,13,TOO_EARLY_HO
UE10821,XYZ402,-104,10,SUCCESS
UE10420,XYZ410,-109,-5,SUCCESS
UE10218,XYZ402,-103,-6,SUCCESS
UE10347,XYZ410,-90,3,SUCCESS
UE10807,XYZ409,-77,-7,SUCCESS
UE10545,XYZ403,-117,-3,WRONG_CELL
UE10863,XYZ410,-124,13,WRONG_CELL
UE10078,XYZ407,-94,0,SUCCESS
UE10747,XYZ404,-76,6,SUCCESS
UE10894,XYZ406,-104,10,SUCCESS
UE10272,XYZ404,-83,15,TOO_EARLY_HO
UE10160,XYZ410,-113,16,SUCCESS
UE10686,XYZ407,-118,5,WRONG_CELL
UE10877,XYZ401,-125,15,WRONG_CELL
UE10307,XYZ403,-109,22,SUCCESS
UE10373,XYZ403,-114,20,PREP_FAILURE
UE10975,XYZ401,-122,-5,WRONG_CELL
UE10732,XYZ406,-113,-3,SUCCESS
UE10008,XYZ409,-95,-4,SUCCESS
UE10800,XYZ408,-85,23,TOO_EARLY_HO
UE10443,XYZ407,-119,3,WRONG_CELL
UE10112,XYZ410,-103,5,SUCCESS
UE10988,XYZ408,-102,-2,SUCCESS
UE10204,XYZ406,-121,-1,WRONG_CELL
UE10404,XYZ409,-121,6,WRONG_CELL
UE10697,XYZ403,-109,1,SUCCESS
UE10852,XYZ410,-96,-5,SUCCESS
UE10196,XYZ410,-117,8,WRONG_CELL
UE10777,XYZ409,-120,18,WRONG_CELL
UE10773,XYZ404,-101,-5,SUCCESS
UE10759,XYZ407,-107,14,SUCCESS
UE10114,XYZ409,-110,13,SUCCESS
UE10120,XYZ402,-105,14,PING_PONG
UE10652,XYZ402,-124,5,WRONG_CELL
UE10064,XYZ409,-116,5,WRONG_CELL
UE10275,XYZ403,-110,-5,PREP_FAILURE
UE10824,XYZ409,-89,10,SUCCESS
UE10238,XYZ405,-111,-7,SUCCESS
UE10301,XYZ406,-113,23,PREP_FAILURE
UE10391,XYZ402,-113,17,SUCCESS
UE10521,XYZ408,-94,17,TOO_EARLY_HO
UE10968,XYZ409,-81,6,SUCCESS
UE10368,XYZ402,-79,3,SUCCESS
UE10232,XYZ406,-80,-4,SUCCESS
UE10194,XYZ406,-118,11,WRONG_CELL
UE10906,XYZ408,-83,-10,PING_PONG
UE10011,XYZ410,-108,18,PING_PONG
UE10905,XYZ405,-90,20,XN_FAILURE
UE10920,XYZ409,-100,19,PREP_FAILURE
UE10688,XYZ401,-116,4,PING_PONG
UE10176,XYZ409,-95,7,SUCCESS
UE10216,XYZ410,-93,24,TOO_EARLY_HO
UE10010,XYZ407,-97,19,SUCCESS
UE10445,XYZ404,-121,23,PREP_FAILURE
UE10629,XYZ403,-113,0,SUCCESS
UE10163,XYZ410,-125,16,WRONG_CELL
UE10550,XYZ406,-103,13,SUCCESS
UE10052,XYZ401,-86,24,TOO_EARLY_HO
UE10217,XYZ403,-123,-3,WRONG_CELL
UE10717,XYZ402,-123,7,WRONG_CELL
UE10998,XYZ409,-119,2,WRONG_CELL
UE10823,XYZ403,-90,13,TOO_EARLY_HO
UE10359,XYZ402,-91,12,SUCCESS
UE10384,XYZ404,-111,1,SUCCESS
UE10055,XYZ402,-86,19,TOO_EARLY_HO
UE10117,XYZ401,-123,20,WRONG_CELL
UE10899,XYZ406,-97,17,SUCCESS
UE10252,XYZ410,-96,11,PREP_FAILURE
UE10797,XYZ408,-87,17,TOO_EARLY_HO
UE10779,XYZ410,-108,2,SUCCESS
UE10802,XYZ410,-115,14,SUCCESS
UE10844,XYZ402,-83,-4,SUCCESS
UE10179,XYZ409,-77,-5,XN_FAILURE
UE10414,XYZ403,-88,13,TOO_EARLY_HO
UE10869,XYZ408,-86,8,SUCCESS
UE10234,XYZ408,-125,8,WRONG_CELL
UE10854,XYZ403,-97,-2,PING_PONG
UE10707,XYZ403,-116,18,WRONG_CELL
UE10819,XYZ406,-98,13,SUCCESS
UE10079,XYZ401,-95,-6,SUCCESS
UE10646,XYZ404,-107,15,PREP_FAILURE
UE10021,XYZ401,-123,3,WRONG_CELL
UE10476,XYZ403,-90,18,TOO_EARLY_HO
UE10842,XYZ409,-83,-5,SUCCESS
UE10439,XYZ405,-111,-4,SUCCESS
UE10736,XYZ405,-93,7,SUCCESS
UE10569,XYZ404,-85,12,SUCCESS
UE10092,XYZ403,-83,-10,SUCCESS
UE10191,XYZ405,-81,-7,TOO_LATE_HO
UE10102,XYZ404,-100,24,SUCCESS
UE10395,XYZ408,-110,12,SUCCESS
UE10006,XYZ404,-90,16,TOO_EARLY_HO
UE10639,XYZ408,-93,15,TOO_EARLY_HO
UE10566,XYZ406,-106,-3,PREP_FAILURE
UE10230,XYZ405,-113,5,SUCCESS
UE10873,XYZ404,-93,-8,SUCCESS
UE10573,XYZ404,-121,21,TOO_LATE_HO
UE10239,XYZ404,-89,-6,SUCCESS
UE10089,XYZ409,-112,9,XN_FAILURE
UE10231,XYZ404,-99,3,SUCCESS
UE10456,XYZ409,-103,21,XN_FAILURE
UE10232,XYZ410,-112,15,SUCCESS
UE10353,XYZ406,-86,-5,SUCCESS
UE10332,XYZ410,-122,-6,XN_FAILURE
UE10438,XYZ407,-87,2,SUCCESS
UE10374,XYZ410,-107,21,SUCCESS
UE10291,XYZ403,-79,5,SUCCESS
UE10344,XYZ408,-122,-10,PREP_FAILURE
UE10663,XYZ403,-96,2,SUCCESS
UE10427,XYZ401,-107,0,XN_FAILURE
UE10656,XYZ410,-95,-3,SUCCESS
UE10129,XYZ405,-95,14,SUCCESS
UE10140,XYZ402,-117,21,PREP_FAILURE
UE10414,XYZ410,-113,13,SUCCESS
UE10092,XYZ406,-112,17,SUCCESS
UE10625,XYZ410,-80,3,SUCCESS
UE10283,XYZ409,-116,-8,WRONG_CELL
UE10955,XYZ401,-78,16,TOO_EARLY_HO
UE10922,XYZ404,-95,9,PREP_FAILURE
UE10654,XYZ401,-89,4,SUCCESS
UE10222,XYZ401,-103,16,SUCCESS
UE10743,XYZ408,-99,17,SUCCESS
UE10462,XYZ402,-120,14,WRONG_CELL
UE10544,XYZ401,-100,22,SUCCESS
UE10275,XYZ408,-124,3,XN_FAILURE
UE10681,XYZ404,-81,-3,SUCCESS
UE10139,XYZ403,-113,3,SUCCESS
UE10356,XYZ404,-76,-10,SUCCESS
UE10712,XYZ405,-107,5,SUCCESS
UE10022,XYZ401,-125,7,XN_FAILURE
UE10967,XYZ401,-86,-4,SUCCESS
UE10735,XYZ403,-94,4,SUCCESS
UE10879,XYZ406,-104,13,SUCCESS
UE10269,XYZ401,-78,2,SUCCESS
UE10858,XYZ402,-97,-2,SUCCESS
UE10664,XYZ407,-124,4,WRONG_CELL
UE10332,XYZ401,-86,24,XN_FAILURE
UE10084,XYZ407,-88,13,PING_PONG
UE10620,XYZ404,-78,22,TOO_EARLY_HO
UE10030,XYZ410,-115,5,SUCCESS
UE10740,XYZ406,-109,-3,SUCCESS
UE10239,XYZ408,-83,18,PING_PONG
UE10889,XYZ409,-118,12,TOO_LATE_HO
UE10362,XYZ406,-104,20,SUCCESS
UE10821,XYZ409,-122,3,WRONG_CELL
UE10388,XYZ404,-115,19,SUCCESS
UE10652,XYZ406,-118,16,WRONG_CELL
UE10667,XYZ408,-117,5,WRONG_CELL
UE10298,XYZ409,-100,-5,SUCCESS
UE10856,XYZ403,-124,22,WRONG_CELL
UE10370,XYZ402,-110,7,SUCCESS
UE10098,XYZ406,-95,5,SUCCESS
UE10046,XYZ404,-120,1,WRONG_CELL
