ue_id,cell_id,rsrp,sinr,failure_type,timestamp,source_cell,target_cell,serving_rsrp,target_rsrp,serving_sinr,target_sinr,serving_rsrq,target_rsrq,event_type,measurement_event,ho_type,failure_stage,speed_kmph,beam_id,beam_id_target,pci_source,pci_target,time_to_trigger_ms,hysteresis_db,xn_latency_ms,packet_loss_pct,t310_expiry,rlf_detected,result,neighbor_relation_status,missing_neighbor,rca_scenarios
UE10618,XYZ401,-118.0,22.0,WRONG_CELL,2026-07-01T08:02:01+00:00,XYZ401,XYZ403,-118.0,-142.0,22.0,12.0,-121.0,-148.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,44.0,8,2,101,103,40,0.0,55.0,1.7,False,True,FAILURE,MISSING,True,handover_execution_failure|missing_neighbor|post_ho_rlf|coverage_induced_ho_failure
UE10762,XYZ407,-123.0,15.0,WRONG_CELL,2026-07-01T08:01:32+00:00,XYZ407,XYZ409,-123.0,-143.0,15.0,5.0,-126.0,-156.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,39.0,6,7,107,109,160,2.0,35.0,1.4,False,True,FAILURE,ACTIVE,False,handover_execution_failure|post_ho_rlf|coverage_induced_ho_failure
UE10935,XYZ405,-101.0,6.0,SUCCESS,2026-07-01T08:01:48+00:00,XYZ405,XYZ406,-101.0,-97.0,6.0,7.0,-113.0,-108.0,HANDOVER,A3,INTRA_NR,SUCCESS,32.0,2,2,105,106,80,0.0,37.0,0.1,False,False,SUCCESS,ACTIVE,False,
UE10220,XYZ401,-121.0,-4.0,WRONG_CELL,2026-07-01T08:04:08+00:00,XYZ401,XYZ403,-121.0,-139.0,-4.0,-13.0,-143.0,-170.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,46.0,5,8,101,103,40,0.0,29.0,3.0,True,False,FAILURE,MISSING,True,handover_execution_failure|missing_neighbor|coverage_induced_ho_failure|interference_induced_ho_failure
UE10378,XYZ404,-86.0,-3.0,SUCCESS,2026-07-01T08:05:26+00:00,XYZ404,XYZ405,-86.0,-83.0,-3.0,-4.0,-107.0,-105.0,HANDOVER,A3,INTRA_NR,SUCCESS,32.0,7,7,104,105,40,2.0,16.0,0.45,False,False,SUCCESS,ACTIVE,False,
UE10221,XYZ404,-107.0,20.0,SUCCESS,2026-07-01T08:05:35+00:00,XYZ404,XYZ405,-107.0,-104.0,20.0,20.0,-110.0,-107.0,HANDOVER,A3,INTRA_NR,SUCCESS,25.0,8,8,104,105,40,2.0,18.0,0.1,False,False,SUCCESS,ACTIVE,False,
UE10257,XYZ410,-108.0,1.0,SUCCESS,2026-07-01T08:07:25+00:00,XYZ410,XYZ409,-108.0,-103.0,1.0,0.0,-125.0,-121.0,HANDOVER,A3,INTRA_NR,SUCCESS,40.0,2,2,110,109,120,2.0,22.0,0.05,False,False,SUCCESS,ACTIVE,False,
UE10712,XYZ407,-76.0,20.0,TOO_EARLY_HO,2026-07-01T08:08:29+00:00,XYZ407,XYZ408,-76.0,-64.0,20.0,16.0,-79.0,-67.0,HANDOVER,A3,INTRA_NR,HO_DECISION,76.0,4,7,107,108,160,2.0,33.0,0.3,False,False,FAILURE,ACTIVE,False,too_early_handover|mobility_configuration_issue
UE10366,XYZ409,-95.0,8.0,SUCCESS,2026-07-01T08:09:23+00:00,XYZ409,XYZ408,-95.0,-93.0,8.0,7.0,-105.0,-104.0,HANDOVER,A3,INTRA_NR,SUCCESS,40.0,8,8,109,108,80,1.0,33.0,0.25,False,False,SUCCESS,ACTIVE,False,
UE10769,XYZ402,-93.0,-1.0,SUCCESS,2026-07-01T08:06:25+00:00,XYZ402,XYZ403,-93.0,-90.0,-1.0,-2.0,-112.0,-110.0,HANDOVER,A3,INTRA_NR,SUCCESS,27.0,5,5,102,103,80,1.0,15.0,0.3,False,False,SUCCESS,ACTIVE,False,
