timestamp,cell_id,ho_attempt,rach_attempt,dl_tp,ul_tp,cqi,ho_success,rach_success
2026-07-01 00:00:00,XYZ401,1941,401,447,41,8,1554,341
2026-07-01 00:00:00,XYZ402,1992,340,321,35,5,1675,272
2026-07-01 00:00:00,XYZ403,767,407,429,127,4,617,350
2026-07-01 00:00:00,XYZ404,1304,731,554,84,11,1167,632
2026-07-01 00:00:00,XYZ405,1643,238,237,99,5,1360,200
2026-07-01 00:00:00,XYZ406,583,218,681,10,13,567,177
2026-07-01 00:00:00,XYZ407,1492,523,668,26,8,1211,465
2026-07-01 00:00:00,XYZ408,1092,820,777,125,15,987,804
2026-07-01 00:00:00,XYZ409,1928,342,402,64,11,1571,285
2026-07-01 00:00:00,XYZ410,1277,476,556,12,12,1033,468
2026-07-01 00:01:00,XYZ410,1306,941,283,32,10,1288,805
2026-07-01 00:01:00,XYZ409,1828,658,509,33,9,1644,613
2026-07-01 00:01:00,XYZ408,1632,266,181,124,6,1482,249
2026-07-01 00:01:00,XYZ407,885,503,180,125,14,737,445
2026-07-01 00:01:00,XYZ406,1010,343,316,68,10,983,295
2026-07-01 00:01:00,XYZ402,834,294,133,120,15,725,271
2026-07-01 00:01:00,XYZ404,1134,319,434,147,15,915,314
2026-07-01 00:01:00,XYZ403,839,430,444,63,11,812,346
2026-07-01 00:01:00,XYZ401,572,648,381,120,7,518,605
2026-07-01 00:01:00,XYZ405,1459,209,59,52,9,1392,178
2026-07-01 00:02:00,XYZ407,1808,708,176,66,6,1542,665
2026-07-01 00:02:00,XYZ410,1070,410,277,74,6,921,389
2026-07-01 00:02:00,XYZ408,855,662,196,75,4,716,592
2026-07-01 00:02:00,XYZ405,1220,954,688,38,9,1149,903
2026-07-01 00:02:00,XYZ409,686,485,667,71,4,574,400
2026-07-01 00:02:00,XYZ403,1828,308,585,75,4,1707,294
2026-07-01 00:02:00,XYZ402,553,382,785,118,15,486,315
2026-07-01 00:02:00,XYZ404,1827,667,139,41,4,1797,555
2026-07-01 00:02:00,XYZ401,1747,487,745,146,5,1411,391
2026-07-01 00:03:00,XYZ401,1808,980,132,32,10,1465,893
2026-07-01 00:03:00,XYZ402,1361,792,153,40,4,1166,638
2026-07-01 00:03:00,XYZ403,1194,829,114,140,11,1033,794
2026-07-01 00:03:00,XYZ405,730,691,209,143,13,655,652
2026-07-01 00:03:00,XYZ407,1045,282,609,37,9,978,261
2026-07-01 00:03:00,XYZ408,1913,600,790,126,2,1668,506
2026-07-01 00:03:00,XYZ409,511,357,688,109,5,471,315
2026-07-01 00:03:00,XYZ410,1833,318,723,30,8,1675,310
2026-07-01 00:04:00,XYZ407,1791,781,783,31,13,1466,636
2026-07-01 00:04:00,XYZ408,1304,381,160,95,7,1102,323
2026-07-01 00:04:00,XYZ409,1839,648,166,26,5,1612,607
2026-07-01 00:05:00,XYZ409,716,943,508,120,5,670,870
2026-07-01 00:06:00,XYZ409,1875,800,52,111,7,1815,789
2026-07-01 01:00:00,XYZ401,1869,804,245,100,1,1696,649
2026-07-01 01:00:00,XYZ402,1199,640,304,90,6,1038,537
2026-07-01 01:00:00,XYZ403,1320,817,411,129,4,1202,693
2026-07-01 01:00:00,XYZ404,1327,809,662,116,7,1266,779
2026-07-01 01:00:00,XYZ405,1572,669,115,124,8,1389,638
2026-07-01 01:00:00,XYZ406,1472,286,316,80,11,1243,242
2026-07-01 01:00:00,XYZ407,928,462,450,36,4,782,414
2026-07-01 01:00:00,XYZ408,1733,492,637,102,3,1624,419
2026-07-01 01:00:00,XYZ409,1128,981,503,24,3,1063,792
2026-07-01 01:00:00,XYZ410,1981,925,645,137,3,1621,840
2026-07-01 01:01:00,XYZ409,1192,604,533,40,2,1031,530
2026-07-01 01:01:00,XYZ408,1609,782,477,142,6,1510,724
2026-07-01 01:01:00,XYZ407,1109,580,504,66,6,931,540
2026-07-01 01:01:00,XYZ406,709,696,177,45,4,647,664
2026-07-01 01:01:00,XYZ410,1841,415,469,107,14,1799,335
2026-07-01 01:01:00,XYZ404,1306,348,412,26,8,1106,324
2026-07-01 01:01:00,XYZ403,1963,790,612,30,6,1663,676
2026-07-01 01:01:00,XYZ402,816,275,572,46,5,735,271
2026-07-01 01:01:00,XYZ401,595,345,169,18,15,551,324
2026-07-01 01:01:00,XYZ405,888,889,625,97,11,718,809
2026-07-01 01:02:00,XYZ401,1213,235,529,87,6,1063,223
2026-07-01 01:02:00,XYZ403,1570,828,327,44,7,1321,682
2026-07-01 01:02:00,XYZ404,1592,653,495,114,13,1484,564
2026-07-01 01:02:00,XYZ405,1015,665,172,71,11,929,594
2026-07-01 01:02:00,XYZ406,1607,341,380,86,12,1316,307
2026-07-01 01:02:00,XYZ408,1015,885,663,13,15,849,748
2026-07-01 01:02:00,XYZ409,1760,755,794,98,3,1664,632
2026-07-01 01:02:00,XYZ410,1694,857,343,25,10,1563,774
2026-07-01 01:03:00,XYZ410,913,298,721,106,12,812,250
2026-07-01 01:03:00,XYZ408,1884,863,442,102,8,1573,812
2026-07-01 01:03:00,XYZ405,571,934,124,136,14,509,833
2026-07-01 01:03:00,XYZ401,1212,379,633,75,8,1122,311
2026-07-01 01:03:00,XYZ403,1493,425,335,101,13,1245,410
2026-07-01 01:04:00,XYZ401,1781,760,624,86,7,1520,729
2026-07-01 01:04:00,XYZ403,787,909,405,46,4,769,796
2026-07-01 01:04:00,XYZ408,1816,634,510,120,12,1586,578
2026-07-01 01:04:00,XYZ410,1487,592,653,124,12,1300,584
2026-07-01 01:05:00,XYZ401,1976,222,616,72,10,1703,219
2026-07-01 01:05:00,XYZ410,1315,590,151,102,13,1093,487
2026-07-01 01:06:00,XYZ401,1837,397,446,119,5,1685,371
2026-07-01 01:07:00,XYZ401,1829,412,297,10,5,1802,336
2026-07-01 01:08:00,XYZ401,1881,578,567,63,13,1559,548
2026-07-01 02:00:00,XYZ410,919,672,715,31,15,893,540
2026-07-01 02:00:00,XYZ409,785,550,600,49,1,727,543
2026-07-01 02:00:00,XYZ408,1182,580,309,52,14,1156,497
2026-07-01 02:00:00,XYZ406,1681,943,114,67,13,1510,797
2026-07-01 02:00:00,XYZ407,1280,698,636,95,4,1214,688
2026-07-01 02:00:00,XYZ404,954,645,498,68,3,933,572
2026-07-01 02:00:00,XYZ403,974,499,525,100,10,786,490
2026-07-01 02:00:00,XYZ402,1304,257,397,81,11,1227,253
2026-07-01 02:00:00,XYZ401,1243,283,431,75,11,1066,269
2026-07-01 02:00:00,XYZ405,795,901,505,62,12,738,846
2026-07-01 02:01:00,XYZ410,1842,860,311,70,9,1499,745
2026-07-01 02:01:00,XYZ409,1611,875,486,148,2,1485,708
2026-07-01 02:01:00,XYZ408,1466,986,532,118,9,1186,966
2026-07-01 02:01:00,XYZ407,1029,427,723,27,1,1012,418
2026-07-01 02:01:00,XYZ406,715,869,643,34,6,613,755
2026-07-01 02:01:00,XYZ405,750,348,167,46,2,720,301
2026-07-01 02:01:00,XYZ403,661,419,330,95,14,534,403
2026-07-01 02:01:00,XYZ402,1226,993,117,48,14,980,915
2026-07-01 02:01:00,XYZ401,1910,612,76,31,12,1663,567
2026-07-01 02:01:00,XYZ404,1622,969,407,122,8,1371,810
2026-07-01 02:02:00,XYZ410,1134,741,501,75,8,1044,663
2026-07-01 02:02:00,XYZ409,1935,722,106,133,15,1692,610
2026-07-01 02:02:00,XYZ408,636,309,716,141,10,617,282
2026-07-01 02:02:00,XYZ406,1435,646,326,91,3,1287,528
2026-07-01 02:02:00,XYZ403,581,453,744,82,3,551,434
2026-07-01 02:02:00,XYZ402,773,269,765,28,2,650,261
2026-07-01 02:02:00,XYZ401,877,501,505,100,12,773,423
2026-07-01 02:02:00,XYZ405,1718,624,329,37,5,1636,580
2026-07-01 02:03:00,XYZ401,591,715,501,96,4,559,683
2026-07-01 02:03:00,XYZ402,1780,772,680,78,3,1679,723
2026-07-01 02:03:00,XYZ403,1295,300,734,22,7,1237,281
2026-07-01 02:03:00,XYZ405,1016,377,142,124,7,928,329
2026-07-01 02:03:00,XYZ406,1076,262,374,77,5,1057,217
2026-07-01 02:03:00,XYZ409,806,762,582,135,3,786,657
2026-07-01 02:03:00,XYZ410,521,459,149,29,13,512,443
2026-07-01 02:04:00,XYZ410,629,512,274,99,9,505,417
2026-07-01 02:04:00,XYZ401,1231,563,66,91,6,1102,499
2026-07-01 02:04:00,XYZ406,1088,581,372,54,14,930,514
2026-07-01 02:04:00,XYZ409,1543,836,742,22,1,1477,702
2026-07-01 02:05:00,XYZ410,860,467,381,92,13,701,375
2026-07-01 02:05:00,XYZ406,805,979,250,71,7,768,892
2026-07-01 02:05:00,XYZ401,1708,278,615,53,14,1488,272
2026-07-01 03:00:00,XYZ401,917,939,326,91,5,804,776
2026-07-01 03:00:00,XYZ402,1780,229,679,79,10,1680,195
2026-07-01 03:00:00,XYZ403,1705,616,431,110,3,1492,583
2026-07-01 03:00:00,XYZ404,1750,605,282,15,12,1584,502
2026-07-01 03:00:00,XYZ405,1983,301,415,89,13,1830,251
2026-07-01 03:00:00,XYZ406,1485,589,487,103,9,1221,555
2026-07-01 03:00:00,XYZ407,1903,225,473,56,11,1589,185
2026-07-01 03:00:00,XYZ408,1667,307,442,33,8,1358,281
2026-07-01 03:00:00,XYZ409,1601,638,725,19,7,1405,516
2026-07-01 03:00:00,XYZ410,1348,533,297,56,10,1288,435
2026-07-01 03:01:00,XYZ410,838,661,534,37,8,794,632
2026-07-01 03:01:00,XYZ409,502,684,441,138,5,466,639
2026-07-01 03:01:00,XYZ408,1131,940,57,42,11,1118,764
2026-07-01 03:01:00,XYZ407,1413,956,301,49,5,1265,854
2026-07-01 03:01:00,XYZ406,1337,364,778,23,6,1314,292
2026-07-01 03:01:00,XYZ405,781,878,505,25,3,644,721
2026-07-01 03:01:00,XYZ404,794,789,492,88,11,692,737
2026-07-01 03:01:00,XYZ403,1540,606,158,43,3,1504,516
2026-07-01 03:01:00,XYZ401,1013,969,65,79,13,1001,780
2026-07-01 03:02:00,XYZ401,1825,849,174,72,12,1689,770
2026-07-01 03:02:00,XYZ403,1188,709,118,127,15,1156,593
2026-07-01 03:02:00,XYZ404,909,859,80,133,11,852,707
2026-07-01 03:02:00,XYZ405,1743,585,188,108,15,1680,512
2026-07-01 03:02:00,XYZ407,1562,925,722,84,5,1487,785
2026-07-01 03:02:00,XYZ408,574,458,589,16,2,461,385
2026-07-01 03:02:00,XYZ409,1420,328,686,20,14,1228,277
2026-07-01 03:02:00,XYZ410,1382,535,678,102,11,1327,516
2026-07-01 03:03:00,XYZ410,1258,528,661,146,13,1098,435
2026-07-01 03:03:00,XYZ408,1405,869,490,42,10,1170,717
2026-07-01 03:03:00,XYZ407,585,626,569,148,2,541,569
2026-07-01 03:03:00,XYZ401,1472,207,608,78,4,1271,166
2026-07-01 03:03:00,XYZ403,1793,432,176,85,10,1564,362
2026-07-01 03:03:00,XYZ404,632,772,694,61,7,562,637
2026-07-01 03:04:00,XYZ401,1071,721,783,70,3,1049,605
2026-07-01 03:04:00,XYZ403,896,740,577,137,2,782,657
2026-07-01 03:04:00,XYZ410,862,739,466,89,6,709,726
2026-07-01 03:05:00,XYZ403,1398,430,615,70,8,1343,345
2026-07-01 03:05:00,XYZ410,1172,420,661,68,13,1154,337
2026-07-01 03:06:00,XYZ403,1843,410,610,83,13,1813,398
2026-07-01 03:07:00,XYZ403,508,513,480,45,3,425,454
2026-07-01 03:08:00,XYZ403,1887,387,231,136,8,1785,365
2026-07-01 03:09:00,XYZ403,520,895,470,124,3,511,882
2026-07-01 04:00:00,XYZ410,1905,768,585,97,11,1546,644
2026-07-01 04:00:00,XYZ409,1607,572,205,80,5,1537,475
2026-07-01 04:00:00,XYZ408,1867,670,294,131,11,1704,568
2026-07-01 04:00:00,XYZ407,1503,693,593,17,9,1474,571
2026-07-01 04:00:00,XYZ406,1924,832,142,71,12,1711,812
2026-07-01 04:00:00,XYZ402,1947,785,256,33,7,1721,683
2026-07-01 04:00:00,XYZ404,846,982,205,77,9,759,893
2026-07-01 04:00:00,XYZ403,1160,333,708,122,10,1096,310
2026-07-01 04:00:00,XYZ401,586,720,319,85,12,529,653
2026-07-01 04:00:00,XYZ405,1314,519,526,15,8,1111,498
2026-07-01 04:01:00,XYZ406,538,412,115,71,11,438,348
2026-07-01 04:01:00,XYZ408,1237,329,532,56,7,1093,313
2026-07-01 04:01:00,XYZ407,1482,504,694,130,12,1269,416
2026-07-01 04:01:00,XYZ405,558,552,350,23,13,460,474
2026-07-01 04:01:00,XYZ409,834,982,352,57,15,689,922
2026-07-01 04:01:00,XYZ403,1273,316,655,35,14,1069,298
2026-07-01 04:01:00,XYZ401,1337,541,455,128,2,1159,500
2026-07-01 04:01:00,XYZ404,1811,441,514,26,15,1617,385
2026-07-01 04:01:00,XYZ402,1746,827,471,107,8,1540,714
2026-07-01 04:02:00,XYZ401,1833,655,393,67,14,1671,536
2026-07-01 04:02:00,XYZ403,1410,818,183,115,12,1359,712
2026-07-01 04:02:00,XYZ404,1740,865,317,76,7,1721,797
2026-07-01 04:02:00,XYZ405,682,871,156,57,12,586,793
2026-07-01 04:02:00,XYZ407,1187,437,563,132,11,990,423
2026-07-01 04:02:00,XYZ409,1069,307,782,134,8,924,279
2026-07-01 04:03:00,XYZ401,1747,816,62,29,5,1528,766
2026-07-01 04:03:00,XYZ403,1296,285,409,128,8,1267,280
2026-07-01 04:03:00,XYZ404,1092,399,189,35,13,1045,347
2026-07-01 04:03:00,XYZ405,1664,355,429,91,8,1384,292
2026-07-01 04:03:00,XYZ407,1622,907,214,14,8,1557,742
2026-07-01 04:04:00,XYZ404,1415,930,613,118,9,1229,899
2026-07-01 04:04:00,XYZ407,1203,729,306,22,15,992,615
2026-07-01 04:04:00,XYZ401,1213,725,190,98,4,1102,654
2026-07-01 04:04:00,XYZ405,1952,827,737,64,6,1795,689
2026-07-01 04:05:00,XYZ401,1394,951,577,62,4,1359,917
2026-07-01 04:05:00,XYZ404,1668,513,553,104,12,1453,420
2026-07-01 04:05:00,XYZ405,1056,762,265,117,4,972,633
2026-07-01 04:05:00,XYZ407,837,300,640,70,15,783,244
2026-07-01 04:06:00,XYZ401,1799,553,657,98,3,1516,530
2026-07-01 04:06:00,XYZ404,1509,974,406,113,14,1344,880
2026-07-01 04:06:00,XYZ405,1161,625,284,81,9,1001,568
2026-07-01 04:07:00,XYZ401,1698,908,477,97,12,1493,883
2026-07-01 05:00:00,XYZ407,1797,389,728,65,15,1723,361
2026-07-01 05:00:00,XYZ409,1884,763,96,49,6,1717,749
2026-07-01 05:00:00,XYZ408,1421,254,670,59,8,1161,245
2026-07-01 05:00:00,XYZ410,855,843,698,115,15,708,722
2026-07-01 05:00:00,XYZ406,1889,897,490,29,12,1854,877
2026-07-01 05:00:00,XYZ404,1324,935,276,102,9,1095,831
2026-07-01 05:00:00,XYZ401,1542,238,259,13,11,1281,225
2026-07-01 05:00:00,XYZ405,597,942,598,78,4,525,779
2026-07-01 05:00:00,XYZ403,560,395,494,143,10,524,341
2026-07-01 05:00:00,XYZ402,1139,242,267,123,4,1036,206
2026-07-01 05:01:00,XYZ401,1208,462,111,93,14,1167,410
2026-07-01 05:01:00,XYZ402,1794,662,706,47,11,1485,644
2026-07-01 05:01:00,XYZ403,1855,771,160,136,14,1722,632
2026-07-01 05:01:00,XYZ405,510,622,591,61,15,448,605
2026-07-01 05:01:00,XYZ407,1569,368,543,132,6,1417,306
2026-07-01 05:01:00,XYZ408,1604,266,461,54,13,1493,236
2026-07-01 05:01:00,XYZ409,1643,780,335,77,4,1444,676
2026-07-01 05:01:00,XYZ410,1048,746,276,49,13,985,630
2026-07-01 05:01:00,XYZ404,554,982,203,47,12,511,947
2026-07-01 05:02:00,XYZ410,1203,586,650,37,8,978,537
2026-07-01 05:02:00,XYZ408,1745,472,212,145,5,1649,406
2026-07-01 05:02:00,XYZ409,1669,329,125,123,4,1582,301
2026-07-01 05:02:00,XYZ404,627,875,392,141,1,582,744
2026-07-01 05:02:00,XYZ403,1868,690,456,127,4,1538,591
2026-07-01 05:02:00,XYZ401,1482,242,707,147,12,1411,202
2026-07-01 05:02:00,XYZ405,1596,903,762,84,7,1289,745
2026-07-01 05:03:00,XYZ401,1665,902,677,12,13,1417,761
2026-07-01 05:03:00,XYZ403,1433,566,280,105,1,1405,464
2026-07-01 05:03:00,XYZ404,1435,714,132,92,6,1241,633
2026-07-01 05:03:00,XYZ405,1471,227,483,136,12,1349,188
2026-07-01 05:03:00,XYZ408,1014,246,698,128,7,958,224
2026-07-01 05:03:00,XYZ409,1326,580,654,82,1,1301,513
2026-07-01 05:04:00,XYZ409,1637,704,295,58,4,1309,647
2026-07-01 05:04:00,XYZ401,1543,745,538,96,12,1452,619
2026-07-01 05:04:00,XYZ403,1390,220,505,63,4,1271,193
2026-07-01 05:04:00,XYZ404,1716,506,542,58,11,1601,458
2026-07-01 05:04:00,XYZ405,1524,787,117,11,8,1436,632
2026-07-01 05:04:00,XYZ408,1366,795,440,24,3,1248,775
2026-07-01 05:05:00,XYZ409,1186,348,725,20,2,993,319
2026-07-01 05:05:00,XYZ405,1707,803,787,18,9,1647,703
2026-07-01 05:05:00,XYZ401,1026,265,709,100,12,975,260
2026-07-01 05:06:00,XYZ409,1031,742,590,136,13,937,693
2026-07-01 06:00:00,XYZ401,1188,693,503,142,1,1030,625
2026-07-01 06:00:00,XYZ402,1235,272,480,68,15,1080,243
2026-07-01 06:00:00,XYZ403,1507,813,573,17,2,1342,770
2026-07-01 06:00:00,XYZ404,1999,209,663,96,12,1616,190
2026-07-01 06:00:00,XYZ405,1882,218,582,117,15,1620,197
2026-07-01 06:00:00,XYZ406,810,978,284,124,15,711,814
2026-07-01 06:00:00,XYZ407,517,358,164,76,13,431,297
2026-07-01 06:00:00,XYZ408,1438,542,239,10,1,1406,462
2026-07-01 06:00:00,XYZ409,1524,696,750,117,5,1263,636
2026-07-01 06:00:00,XYZ410,918,763,354,85,12,763,744
2026-07-01 06:01:00,XYZ410,784,596,596,63,12,662,570
2026-07-01 06:01:00,XYZ409,627,926,628,25,1,568,901
2026-07-01 06:01:00,XYZ408,1245,796,481,61,15,1192,669
2026-07-01 06:01:00,XYZ407,1693,641,448,92,15,1377,524
2026-07-01 06:01:00,XYZ404,554,999,602,71,13,507,965
2026-07-01 06:01:00,XYZ403,1313,886,314,57,9,1056,761
2026-07-01 06:01:00,XYZ402,1106,331,290,57,5,974,316
2026-07-01 06:01:00,XYZ401,1480,211,473,121,8,1359,197
2026-07-01 06:01:00,XYZ405,1455,795,220,129,6,1196,639
2026-07-01 06:02:00,XYZ401,1438,665,289,36,13,1228,658
2026-07-01 06:02:00,XYZ403,1563,286,710,16,9,1341,236
2026-07-01 06:02:00,XYZ404,1226,635,727,101,4,1068,563
2026-07-01 06:02:00,XYZ405,1293,449,785,72,5,1206,405
2026-07-01 06:02:00,XYZ407,1875,501,574,65,6,1513,476
2026-07-01 06:02:00,XYZ408,873,206,133,77,14,858,166
2026-07-01 06:02:00,XYZ409,1939,693,339,94,9,1753,667
2026-07-01 06:03:00,XYZ408,863,453,469,91,7,831,378
2026-07-01 06:03:00,XYZ409,1636,416,750,76,10,1358,361
2026-07-01 06:03:00,XYZ405,618,543,461,39,11,604,517
2026-07-01 06:03:00,XYZ401,669,759,188,127,10,599,719
2026-07-01 06:03:00,XYZ403,1386,635,424,70,13,1187,548
2026-07-01 06:03:00,XYZ404,875,773,489,130,7,741,691
2026-07-01 06:04:00,XYZ401,536,601,68,67,2,439,538
2026-07-01 06:04:00,XYZ404,1585,264,534,97,15,1395,224
2026-07-01 06:04:00,XYZ408,741,927,226,74,14,684,829
2026-07-01 06:04:00,XYZ409,1012,242,380,40,15,817,207
2026-07-01 06:05:00,XYZ401,1685,480,614,88,13,1584,472
2026-07-01 06:05:00,XYZ404,527,281,94,141,15,429,274
2026-07-01 06:05:00,XYZ408,994,981,64,41,13,829,794
2026-07-01 06:06:00,XYZ401,1676,311,209,104,10,1640,268
