ue_id,cell_id,rsrp,rsrq,sinr,cause
UE10500,XYZ401,-124.3,-12.2,3.4,Coverage
UE10501,XYZ402,-117.4,-12.5,0.3,Coverage
UE10502,XYZ403,-115.5,-12.0,-0.4,Coverage
UE10503,XYZ404,-108.0,-10.8,11.2,Post_HO
UE10504,XYZ405,-113.1,-11.5,9.3,Coverage
UE10505,XYZ406,-104.6,-12.0,10.8,Coverage
UE10506,XYZ407,-109.0,-11.4,7.6,Interference
UE10507,XYZ408,-100.4,-11.2,11.4,Post_HO
UE10508,XYZ409,-94.6,-8.3,18.2,None
UE10509,XYZ410,-88.6,-8.0,20.0,None
UE10510,XYZ401,-115.4,-12.4,-9.8,Coverage
UE10511,XYZ402,-113.1,-14.5,-0.8,Coverage
UE10512,XYZ403,-120.5,-12.5,10.6,Coverage
UE10513,XYZ404,-115.9,-13.3,-2.2,Coverage
UE10514,XYZ405,-114.8,-12.1,7.4,Coverage
UE10515,XYZ406,-109.4,-12.9,11.1,Coverage
UE10516,XYZ407,-105.1,-9.8,8.5,Interference
UE10517,XYZ408,-105.6,-12.4,7.0,Post_HO
UE10518,XYZ409,-94.8,-9.9,14.8,None
UE10519,XYZ410,-87.3,-13.0,17.7,None
UE10520,XYZ401,-121.1,-12.8,-10.1,Coverage
UE10521,XYZ402,-105.9,-12.4,-0.1,Interference
UE10522,XYZ403,-122.7,-14.8,-13.7,Coverage
UE10523,XYZ404,-111.4,-12.5,-1.5,Interference
UE10524,XYZ405,-114.0,-10.0,3.9,Coverage
UE10525,XYZ406,-114.7,-10.4,12.3,Coverage
UE10526,XYZ407,-97.0,-8.9,6.5,Interference
UE10527,XYZ408,-103.1,-9.3,6.6,Coverage
UE10528,XYZ409,-92.5,-10.1,18.5,Coverage
UE10529,XYZ410,-86.6,-7.9,19.3,None
UE10530,XYZ401,-108.8,-11.6,11.5,Post_HO
UE10531,XYZ402,-112.2,-11.3,-1.4,Coverage
UE10532,XYZ403,-110.5,-12.5,7.6,Post_HO
UE10533,XYZ404,-112.1,-10.8,2.7,Coverage
UE10534,XYZ405,-116.0,-13.4,4.7,Coverage
UE10535,XYZ406,-117.2,-12.0,4.5,Coverage
UE10536,XYZ407,-102.4,-8.8,6.3,Post_HO
UE10537,XYZ408,-97.9,-10.3,10.2,Post_HO
UE10538,XYZ409,-87.8,-8.9,14.3,Interference
UE10539,XYZ410,-89.9,-8.4,23.4,None
UE10540,XYZ401,-116.1,-11.5,1.8,Coverage
UE10541,XYZ402,-115.1,-11.0,10.8,Coverage
UE10542,XYZ403,-118.4,-13.9,-3.6,Coverage
UE10543,XYZ404,-112.4,-10.6,8.1,Coverage
UE10544,XYZ405,-100.2,-11.6,8.3,Interference
UE10545,XYZ406,-104.1,-9.2,10.7,Coverage
UE10546,XYZ407,-106.8,-11.2,12.8,Post_HO
UE10547,XYZ408,-99.0,-9.2,17.1,Coverage
UE10548,XYZ409,-91.4,-8.6,17.7,Coverage
UE10549,XYZ410,-87.1,-8.9,23.7,None
UE10550,XYZ401,-122.2,-15.2,3.4,Coverage
UE10551,XYZ402,-121.6,-11.7,-3.7,Coverage
UE10552,XYZ403,-115.7,-12.3,-5.2,Coverage
UE10553,XYZ404,-113.5,-10.2,-0.8,Coverage
UE10554,XYZ405,-111.3,-12.2,5.3,Post_HO
UE10555,XYZ406,-101.0,-11.7,2.1,Post_HO
UE10556,XYZ407,-101.5,-11.1,12.0,Coverage
UE10557,XYZ408,-104.1,-11.3,4.3,Coverage
UE10558,XYZ409,-93.6,-9.8,18.4,Interference
UE10559,XYZ410,-87.2,-8.4,23.0,None
UE10560,XYZ401,-116.4,-13.3,-8.4,Coverage
UE10561,XYZ402,-108.7,-13.8,-3.2,Interference
UE10562,XYZ403,-118.5,-15.9,-14.9,Coverage
UE10563,XYZ404,-108.0,-10.8,10.0,Post_HO
UE10564,XYZ405,-111.9,-13.8,-1.9,Interference
UE10565,XYZ406,-101.0,-10.8,9.8,Interference
UE10566,XYZ407,-112.1,-10.1,9.4,Coverage
UE10567,XYZ408,-101.7,-9.6,11.6,Coverage
UE10568,XYZ409,-94.8,-9.0,15.5,None
UE10569,XYZ410,-88.2,-9.9,20.4,None
UE10570,XYZ401,-132.4,-14.3,-1.5,Coverage
UE10571,XYZ402,-111.9,-12.6,6.4,Post_HO
UE10572,XYZ403,-115.1,-13.1,-0.9,Coverage
UE10573,XYZ404,-117.7,-10.0,10.1,Coverage
UE10574,XYZ405,-107.1,-13.8,-2.0,Interference
UE10575,XYZ406,-108.0,-12.7,5.2,Interference
UE10576,XYZ407,-114.2,-11.6,6.4,Coverage
