cell_id,cqi,prb_util,dl_tp,rsrq,sinr,issue
XYZ401,4.4,77.3,152,-14.4,-10.0,RF
XYZ402,7.8,66.8,227,-9.9,-1.6,Scheduler
XYZ403,3.6,64.6,260,-14.3,-5.6,RF
XYZ404,4.8,59.5,125,-12.0,-4.4,RF
XYZ405,5.1,51.2,328,-11.3,6.2,RF
XYZ406,8.1,76.8,317,-9.4,6.9,Scheduler
XYZ407,12.5,34.0,450,-13.2,7.7,None
XYZ408,8.4,45.5,446,-8.8,10.4,None
XYZ409,12.8,67.1,714,-10.0,16.4,Scheduler
XYZ410,14.1,13.0,569,-7.0,20.9,None
XYZ401,10.6,49.7,147,-12.0,8.0,None
XYZ402,6.3,54.9,203,-14.7,-11.7,None
XYZ403,2.1,77.9,222,-14.8,-6.2,RF
XYZ404,5.6,43.9,110,-12.5,1.5,Backhaul
XYZ405,3.3,83.5,345,-12.1,1.7,Congestion
XYZ406,11.4,78.9,304,-9.9,11.2,Scheduler
XYZ407,8.4,46.8,380,-8.8,12.2,None
XYZ408,11.1,51.6,494,-11.1,5.0,None
XYZ409,12.6,34.5,702,-9.4,15.4,None
XYZ410,12.5,25.3,690,-6.4,18.0,None
XYZ401,4.6,85.2,178,-14.7,-7.6,Congestion
XYZ402,7.5,43.8,178,-12.2,3.3,None
XYZ403,2.4,81.4,140,-13.7,-3.1,RF
XYZ404,2.6,60.1,106,-10.6,12.9,RF
XYZ405,8.3,47.5,301,-13.0,5.1,None
XYZ406,8.0,79.5,293,-10.7,19.8,Scheduler
XYZ407,7.7,41.1,414,-12.9,1.1,None
XYZ408,9.8,92.1,398,-11.3,9.7,Congestion
XYZ409,10.6,41.9,438,-8.6,14.3,None
XYZ410,15.0,7.0,761,-8.1,21.4,None
XYZ401,6.2,44.9,149,-13.2,6.7,None
XYZ402,8.1,75.9,199,-13.2,-2.1,Scheduler
XYZ403,3.3,82.5,194,-13.9,-11.1,Congestion
XYZ404,7.1,48.2,141,-12.5,3.3,None
XYZ405,9.9,62.1,260,-12.2,6.5,Scheduler
XYZ406,9.7,67.6,410,-11.2,3.7,Scheduler
XYZ407,8.2,56.0,261,-12.5,6.2,Scheduler
XYZ408,12.9,57.2,437,-11.0,14.8,Scheduler
XYZ409,14.2,70.3,648,-9.4,19.8,Scheduler
XYZ410,13.9,45.6,423,-7.8,16.6,None
XYZ401,5.4,38.9,218,-14.0,-9.4,RF
