timestamp,ue_id,latitude,longitude,cell_id,sector,rsrp_dbm,sinr_db,dl_tp_mbps,latency_ms,coverage_status,beam_id,beam_health_score,hotspot_type
2026-07-01 00:00:00,UE00000,32.96037961495144,-96.99486340817693,XYZ401,A,-99,11,349,114,Coverage_Hole,1,64,coverage_hole
2026-07-01 01:00:00,UE00001,32.95623842771268,-97.0295271575902,XYZ402,A,-119,-4,82,105,Fair,2,5,coverage_hole
2026-07-01 03:00:00,UE00003,32.926346228172925,-97.00843124463655,XYZ401,B,-93,10,344,20,Coverage_Hole,4,58,coverage_hole
2026-07-01 08:00:00,UE00008,32.91069490641537,-96.98676519324114,XYZ403,C,-101,9,396,73,Coverage_Hole,3,55,coverage_hole
2026-07-01 11:00:00,UE00011,32.93455907254406,-96.93438324478132,XYZ403,B,-124,-2,109,101,Good,6,13,coverage_hole
2026-07-01 14:00:00,UE00014,32.917124480946924,-97.02754112223296,XYZ403,B,-117,1,194,126,Poor,3,23,coverage_hole
2026-07-01 20:00:00,UE00020,32.92104328790031,-97.03247027263218,XYZ403,B,-120,-1,161,16,Fair,3,15,coverage_hole
2026-07-01 22:00:00,UE00022,32.97536121807113,-96.97678012004243,XYZ402,B,-121,4,251,72,Fair,5,36,coverage_hole
2026-07-01 01:00:00,UE00025,32.935010479170074,-96.96471236907324,XYZ402,B,-86,13,369,107,Coverage_Hole,2,68,coverage_hole
2026-07-01 05:00:00,UE00029,32.91734782050177,-96.9503455116328,XYZ403,B,-114,7,294,128,Coverage_Hole,6,47,coverage_hole
2026-07-01 06:00:00,UE00030,32.89419713568289,-97.00032962659712,XYZ401,C,-110,-8,49,76,Coverage_Hole,1,5,coverage_hole
2026-07-01 08:00:00,UE00032,32.92949483490553,-96.97101103090452,XYZ403,A,-82,17,454,37,Coverage_Hole,3,84,coverage_hole
2026-07-01 09:00:00,UE00033,32.976438646623414,-96.9932539587968,XYZ401,A,-115,2,267,116,Good,4,28,coverage_hole
2026-07-01 12:00:00,UE00036,32.91928870849824,-97.02576189613166,XYZ401,B,-114,-3,112,58,Coverage_Hole,1,10,coverage_hole
2026-07-01 14:00:00,UE00038,32.97523944482476,-96.99791789133324,XYZ403,B,-116,-3,126,74,Excellent,3,11,coverage_hole
