cell_id,counter_name,counter_value,period_start
43211,ho_success_rate,91.2,2026-07-01T08:00:00
43211,ho_prep_fail_rate,6.8,2026-07-01T08:00:00
43211,ho_too_late_rate,4.1,2026-07-01T08:00:00
43211,ss_rsrp,-98.5,2026-07-01T08:00:00
43211,ss_sinr,4.2,2026-07-01T08:00:00
43211,cqi,7.3,2026-07-01T08:00:00
43211,bler,15.2,2026-07-01T08:00:00
43211,ri,1.1,2026-07-01T08:00:00
43211,throughput_mbps,28.5,2026-07-01T08:00:00
43211,rach_success_rate,88.0,2026-07-01T08:00:00
43211,rach_msg3_fail_rate,4.5,2026-07-01T08:00:00
43211,call_drop_rate,3.2,2026-07-01T08:00:00
43211,rlf_rate,2.1,2026-07-01T08:00:00
43211,beam_failure_ratio,32.0,2026-07-01T08:00:00
43211,upf_latency_ms,62.0,2026-07-01T08:00:00
43211,latency_ms,55.0,2026-07-01T08:00:00
43211,backhaul_utilization,45.0,2026-07-01T08:00:00
43211,prb_utilization,72.0,2026-07-01T08:00:00
43212,ho_success_rate,97.5,2026-07-01T08:00:00
43212,ss_rsrp,-82.0,2026-07-01T08:00:00
43212,ss_sinr,18.0,2026-07-01T08:00:00
43212,cqi,12.0,2026-07-01T08:00:00
43212,bler,2.1,2026-07-01T08:00:00
43212,throughput_mbps,145.0,2026-07-01T08:00:00
43212,call_drop_rate,0.5,2026-07-01T08:00:00
43212,beam_failure_ratio,8.0,2026-07-01T08:00:00
