timestamp,cell_id,ue_id,severity,module,event_code,message
2026-07-01 00:00:00,XYZ401,UE10000,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 01:01:00,XYZ401,UE10001,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 02:02:00,XYZ403,UE10002,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 03:03:00,XYZ403,UE10003,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 04:04:00,XYZ403,UE10004,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 05:05:00,XYZ403,UE10005,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 06:06:00,XYZ401,UE10006,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 07:07:00,XYZ402,UE10007,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 08:08:00,XYZ402,UE10008,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 09:09:00,XYZ401,UE10009,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 10:10:00,XYZ402,UE10010,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 11:11:00,XYZ401,UE10011,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 12:12:00,XYZ401,UE10012,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 13:13:00,XYZ403,UE10013,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 14:14:00,XYZ403,UE10014,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 15:15:00,XYZ403,UE10015,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 16:16:00,XYZ402,UE10016,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 17:17:00,XYZ403,UE10017,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 18:18:00,XYZ403,UE10018,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 19:19:00,XYZ401,UE10019,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 20:20:00,XYZ401,UE10020,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 21:21:00,XYZ403,UE10021,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 22:22:00,XYZ401,UE10022,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 23:23:00,XYZ401,UE10023,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 00:24:00,XYZ402,UE10024,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 01:25:00,XYZ402,UE10025,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 02:26:00,XYZ402,UE10026,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 03:27:00,XYZ402,UE10027,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 04:28:00,XYZ403,UE10028,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 05:29:00,XYZ403,UE10029,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 06:30:00,XYZ401,UE10030,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 07:31:00,XYZ402,UE10031,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 08:32:00,XYZ402,UE10032,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 09:33:00,XYZ402,UE10033,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 10:34:00,XYZ402,UE10034,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 11:35:00,XYZ402,UE10035,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 12:36:00,XYZ402,UE10036,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 13:37:00,XYZ403,UE10037,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 14:38:00,XYZ402,UE10038,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 15:39:00,XYZ402,UE10039,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 16:40:00,XYZ402,UE10040,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 17:41:00,XYZ402,UE10041,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 18:42:00,XYZ403,UE10042,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 19:43:00,XYZ401,UE10043,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 20:44:00,XYZ401,UE10044,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 21:45:00,XYZ402,UE10045,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 22:46:00,XYZ402,UE10046,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 23:47:00,XYZ401,UE10047,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 00:48:00,XYZ401,UE10048,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 01:49:00,XYZ401,UE10049,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 02:50:00,XYZ403,UE10050,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 03:51:00,XYZ401,UE10051,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 04:52:00,XYZ403,UE10052,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 05:53:00,XYZ403,UE10053,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 06:54:00,XYZ403,UE10054,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 07:55:00,XYZ401,UE10055,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 08:56:00,XYZ401,UE10056,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 09:57:00,XYZ403,UE10057,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 10:58:00,XYZ401,UE10058,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 11:59:00,XYZ403,UE10059,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 12:00:00,XYZ402,UE10060,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 13:01:00,XYZ403,UE10061,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 14:02:00,XYZ401,UE10062,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 15:03:00,XYZ402,UE10063,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 16:04:00,XYZ403,UE10064,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 17:05:00,XYZ403,UE10065,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 18:06:00,XYZ403,UE10066,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 19:07:00,XYZ403,UE10067,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 20:08:00,XYZ401,UE10068,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 21:09:00,XYZ403,UE10069,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 22:10:00,XYZ403,UE10070,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 23:11:00,XYZ401,UE10071,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 00:12:00,XYZ402,UE10072,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 01:13:00,XYZ401,UE10073,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 02:14:00,XYZ403,UE10074,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 03:15:00,XYZ401,UE10075,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 04:16:00,XYZ402,UE10076,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 05:17:00,XYZ403,UE10077,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 06:18:00,XYZ403,UE10078,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 07:19:00,XYZ401,UE10079,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 08:20:00,XYZ401,UE10080,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 09:21:00,XYZ403,UE10081,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 10:22:00,XYZ402,UE10082,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 11:23:00,XYZ401,UE10083,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 12:24:00,XYZ401,UE10084,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 13:25:00,XYZ402,UE10085,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 14:26:00,XYZ402,UE10086,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 15:27:00,XYZ403,UE10087,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 16:28:00,XYZ403,UE10088,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 17:29:00,XYZ401,UE10089,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 18:30:00,XYZ401,UE10090,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 19:31:00,XYZ401,UE10091,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 20:32:00,XYZ402,UE10092,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 21:33:00,XYZ401,UE10093,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 22:34:00,XYZ403,UE10094,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 23:35:00,XYZ403,UE10095,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 00:36:00,XYZ402,UE10096,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 01:37:00,XYZ401,UE10097,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 02:38:00,XYZ402,UE10098,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 03:39:00,XYZ403,UE10099,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 04:40:00,XYZ402,UE10100,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 05:41:00,XYZ401,UE10101,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 06:42:00,XYZ401,UE10102,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
2026-07-01 07:43:00,XYZ402,UE10103,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 08:44:00,XYZ403,UE10104,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 09:45:00,XYZ401,UE10105,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 10:46:00,XYZ401,UE10106,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 11:47:00,XYZ401,UE10107,WARN,RACH,T310_EXPIRY,T310 Timer Expired
2026-07-01 12:48:00,XYZ402,UE10108,WARN,RLF,XN_TIMEOUT,Xn Preparation Timeout
2026-07-01 13:49:00,XYZ402,UE10109,WARN,BEAM,MSG1_FAIL,PRACH Detection Failure
2026-07-01 14:50:00,XYZ401,UE10110,ERROR,VONR,BEAM_OVERLOAD,Beam Resource Congestion
2026-07-01 15:51:00,XYZ403,UE10111,WARN,MOBILITY,HO_PREP_FAIL,HO Request Ack Missing
2026-07-01 16:52:00,XYZ402,UE10112,ERROR,TRANSPORT,SIP_TIMEOUT,IMS SIP Timeout
